,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9303,0.9303,0.895,0.9282,0.0718,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.797,0.797,0.7249,0.7919,0.2081,25.0,0.8567,0.8667,0.1141,1.2152,1.0,0.05
0,0.597,0.5975,0.5423,0.5964,0.4036,41.8235,0.6417,0.6667,0.1393,1.4832,2.0,0.05
0,0.3765,0.3763,0.4382,0.3645,0.6355,61.9104,0.4047,0.4462,0.1681,1.7893,3.0,0.05
0,0.1917,0.1893,0.4433,0.1204,0.8796,78.0298,0.206,0.2614,0.2004,2.1343,4.0,0.05
0,0.0932,0.0904,0.4826,0.0033,0.9967,95.5907,0.1002,0.1629,0.2354,2.5062,5.0,0.05
0,0.0576,0.0558,0.4841,0.0,1.0,109.3476,0.0619,0.1273,0.2704,2.8791,6.0,0.05
0,0.0288,0.0279,0.4841,0.0,1.0,123.4515,0.0309,0.0985,0.3028,3.2239,7.0,0.05
0,0.0189,0.0184,0.4841,0.0,1.0,134.1432,0.0204,0.0886,0.3324,3.5392,8.0,0.05
0,0.0114,0.011,0.4841,0.0,1.0,145.7719,0.0122,0.0811,0.3595,3.8278,9.0,0.05
0,0.0068,0.0066,0.4841,0.0,1.0,154.8047,0.0073,0.0765,0.384,4.0888,10.0,0.05
0,0.0045,0.0044,0.4841,0.0,1.0,165.1301,0.0049,0.0742,0.4053,4.3156,11.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,173.1543,0.0008,0.0705,0.424,4.5145,12.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,182.7716,0.0,0.0697,0.4403,4.6879,13.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,190.3168,0.0,0.0697,0.4546,4.84,14.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,199.3336,0.0,0.0697,0.4674,4.9767,15.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,206.5493,0.0,0.0697,0.4791,5.1016,16.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,215.0755,0.0,0.0697,0.4897,5.2141,17.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,221.9051,0.0,0.0697,0.5001,5.3244,18.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,230.0768,0.0,0.0697,0.5095,5.4247,19.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,236.6637,0.0,0.0697,0.5187,5.5225,20.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,244.6063,0.0,0.0697,0.5272,5.6134,21.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,250.9286,0.0,0.0697,0.5351,5.6972,22.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,258.4143,0.0,0.0697,0.5434,5.7863,23.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,264.4332,0.0,0.0697,0.5504,5.8607,24.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,271.5524,0.0,0.0697,0.5574,5.9347,25.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,277.4041,0.0,0.0697,0.5644,6.0096,26.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,284.3855,0.0,0.0697,0.571,6.0795,27.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,289.9001,0.0,0.0697,0.5774,6.1478,28.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,296.5043,0.0,0.0697,0.5836,6.2134,29.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,301.783,0.0,0.0697,0.5896,6.2779,30.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,308.1544,0.0,0.0697,0.5951,6.3362,31.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,313.2046,0.0,0.0697,0.6004,6.3931,32.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,319.2911,0.0,0.0697,0.6057,6.4497,33.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,324.2159,0.0,0.0697,0.6116,6.5125,34.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,330.1696,0.0,0.0697,0.6164,6.5636,35.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,334.8044,0.0,0.0697,0.6221,6.624,36.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,340.3017,0.0,0.0697,0.6266,6.6721,37.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,344.6855,0.0,0.0697,0.6313,6.7213,38.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,350.0706,0.0,0.0697,0.6365,6.7773,39.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,354.3215,0.0008,0.0705,0.6409,6.8244,40.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,359.585,0.0008,0.0705,0.6459,6.8771,41.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,363.5563,0.0008,0.0705,0.6503,6.924,42.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,368.7194,0.0,0.0697,0.6542,6.9659,43.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,372.485,0.0,0.0697,0.6588,7.0148,44.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,377.3625,0.0,0.0697,0.6628,7.0575,45.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,381.1141,0.0,0.0697,0.6667,7.0988,46.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,385.7041,0.0,0.0697,0.6707,7.1415,47.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,389.3151,0.0,0.0697,0.6744,7.1808,48.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,393.8981,0.0,0.0697,0.6782,7.2214,49.0,0.05
