,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.928,0.9281,0.891,0.9261,0.0739,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.9326,0.9328,0.8963,0.931,0.069,0.0335,0.9951,0.9864,0.094,1.0008,1.0,0.05
0,0.9303,0.9303,0.895,0.9282,0.0718,0.0673,0.9959,0.9902,0.0941,1.0015,2.0,0.05
0,0.9311,0.9311,0.8958,0.9291,0.0709,0.1013,0.9943,0.9864,0.0941,1.0024,3.0,0.05
0,0.9341,0.9343,0.8984,0.9325,0.0675,0.1338,0.9943,0.9833,0.0942,1.0031,4.0,0.05
0,0.9318,0.9318,0.8971,0.9298,0.0702,0.1662,0.9935,0.9841,0.0943,1.0039,5.0,0.05
0,0.9341,0.9341,0.9006,0.9321,0.0679,0.1976,0.9959,0.9864,0.0944,1.0046,6.0,0.05
0,0.9311,0.9311,0.8958,0.9291,0.0709,0.2305,0.9935,0.9848,0.0944,1.0054,7.0,0.05
0,0.928,0.9281,0.891,0.9261,0.0739,0.2633,0.9918,0.9848,0.0945,1.0061,8.0,0.05
0,0.9341,0.9342,0.8995,0.9323,0.0677,0.2964,0.9951,0.9848,0.0946,1.0069,9.0,0.05
0,0.9295,0.9296,0.8931,0.9276,0.0724,0.3306,0.9918,0.9833,0.0946,1.0077,10.0,0.05
0,0.9311,0.9311,0.8963,0.929,0.071,0.3633,0.9951,0.9879,0.0947,1.0084,11.0,0.05
0,0.9318,0.9318,0.8971,0.9298,0.0702,0.397,0.9959,0.9886,0.0948,1.0093,12.0,0.05
0,0.9303,0.9302,0.8961,0.928,0.072,0.4301,0.9935,0.9856,0.0949,1.01,13.0,0.05
0,0.9318,0.9319,0.8966,0.9299,0.0701,0.4634,0.9935,0.9841,0.0949,1.0108,14.0,0.05
0,0.9273,0.9273,0.8907,0.9251,0.0749,0.4975,0.991,0.9841,0.095,1.0116,15.0,0.05
0,0.9311,0.9312,0.8952,0.9292,0.0708,0.5303,0.9951,0.9879,0.0951,1.0124,16.0,0.05
0,0.9288,0.9288,0.8928,0.9267,0.0733,0.5631,0.9951,0.9902,0.0952,1.0132,17.0,0.05
0,0.9303,0.9304,0.8944,0.9283,0.0717,0.5967,0.9943,0.9871,0.0952,1.014,18.0,0.05
