,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9152,0.9157,0.868,0.9142,0.0858,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.7008,0.7017,0.6249,0.7028,0.2972,25.0,0.7657,0.7856,0.1112,1.1838,1.0,0.05
0,0.428,0.4282,0.4535,0.4241,0.5759,44.7907,0.4677,0.5129,0.1392,1.4824,2.0,0.05
0,0.2371,0.2358,0.4292,0.1976,0.8024,65.2779,0.2591,0.322,0.1688,1.7974,3.0,0.05
0,0.1091,0.1077,0.4573,0.0652,0.9348,81.5941,0.1192,0.1939,0.1976,2.104,4.0,0.05
0,0.0538,0.0529,0.4733,0.0235,0.9765,98.4826,0.0588,0.1386,0.2251,2.3971,5.0,0.05
0,0.025,0.0244,0.4818,0.0046,0.9954,111.2882,0.0273,0.1098,0.2511,2.6738,6.0,0.05
0,0.0129,0.0125,0.4841,0.0,1.0,124.3803,0.0141,0.0977,0.2757,2.9356,7.0,0.05
0,0.0068,0.0066,0.4841,0.0,1.0,133.4272,0.0075,0.0917,0.2989,3.1824,8.0,0.05
0,0.0038,0.0037,0.4841,0.0,1.0,143.3981,0.0041,0.0886,0.3213,3.4213,9.0,0.05
0,0.0015,0.0015,0.4841,0.0,1.0,150.3091,0.0017,0.0864,0.3434,3.6567,10.0,0.05
0,0.0015,0.0015,0.4841,0.0,1.0,159.0216,0.0017,0.0864,0.3654,3.8904,11.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,165.2434,0.0,0.0848,0.3868,4.1187,12.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,173.311,0.0,0.0848,0.4076,4.3399,13.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,179.1322,0.0,0.0848,0.4278,4.5544,14.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,186.4774,0.0,0.0848,0.4469,4.7588,15.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,191.6704,0.0,0.0848,0.4656,4.9579,16.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,198.2051,0.0,0.0848,0.4833,5.1462,17.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,202.7816,0.0,0.0848,0.5009,5.3335,18.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,208.5827,0.0,0.0848,0.5175,5.5104,19.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,212.5401,0.0,0.0848,0.5343,5.6888,20.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,217.7118,0.0,0.0848,0.5503,5.8595,21.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,221.1725,0.0,0.0848,0.5666,6.0332,22.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,225.8522,0.0,0.0848,0.5823,6.2003,23.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,228.9554,0.0,0.0848,0.5984,6.3717,24.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,233.2455,0.0,0.0848,0.6139,6.5362,25.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,236.0445,0.0,0.0848,0.6296,6.7036,26.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,240.0274,0.0,0.0848,0.6447,6.8647,27.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,242.552,0.0,0.0848,0.6601,7.0283,28.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,246.2891,0.0,0.0848,0.6749,7.1864,29.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,248.6096,0.0,0.0848,0.6901,7.3475,30.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,252.1594,0.0,0.0848,0.7045,7.5013,31.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,254.2938,0.0,0.0848,0.7193,7.6582,32.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,257.6537,0.0,0.0848,0.7334,7.8087,33.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,259.6636,0.0,0.0848,0.7478,7.9617,34.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,262.8701,0.0,0.0848,0.7614,8.1071,35.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,264.7414,0.0,0.0848,0.7754,8.2559,36.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,267.8118,0.0,0.0848,0.7886,8.3969,37.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,269.5613,0.0,0.0848,0.8022,8.5413,38.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,272.5346,0.0,0.0848,0.8152,8.68,39.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,274.1807,0.0,0.0848,0.8284,8.8208,40.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,277.0306,0.0,0.0848,0.841,8.9549,41.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,278.5768,0.0,0.0848,0.8539,9.0916,42.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,281.3132,0.0,0.0848,0.866,9.2212,43.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,282.7909,0.0,0.0848,0.8786,9.3547,44.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,285.4446,0.0,0.0848,0.8905,9.481,45.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,286.8443,0.0,0.0848,0.9027,9.6113,46.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,289.4391,0.0,0.0848,0.9143,9.7353,47.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,290.7764,0.0,0.0848,0.9262,9.8613,48.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,293.2748,0.0,0.0848,0.9374,9.9804,49.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,294.5622,0.0,0.0848,0.949,10.1041,50.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,296.9954,0.0,0.0848,0.9599,10.2204,51.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,298.2057,0.0,0.0848,0.9711,10.3395,52.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,300.5726,0.0,0.0848,0.9816,10.4517,53.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,301.7271,0.0,0.0848,0.9926,10.5682,54.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,304.0099,0.0,0.0848,1.0026,10.6755,55.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,305.1086,0.0,0.0848,1.0133,10.7887,56.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,307.3448,0.0,0.0848,1.0231,10.8939,57.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,308.3787,0.0,0.0848,1.0335,11.0041,58.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,310.5601,0.0,0.0848,1.0431,11.1065,59.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,311.5401,0.0,0.0848,1.0531,11.2129,60.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,313.6757,0.0,0.0848,1.0625,11.3128,61.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,314.6047,0.0,0.0848,1.0723,11.417,62.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,316.6702,0.0,0.0848,1.0813,11.5131,63.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,317.5594,0.0,0.0848,1.0909,11.6151,64.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,319.5826,0.0,0.0848,1.0996,11.7083,65.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,320.4151,0.0,0.0848,1.1089,11.8065,66.0,0.05
