,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9152,0.9157,0.868,0.9142,0.0858,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.9152,0.9157,0.868,0.9142,0.0858,0.0467,1.0,1.0,0.094,1.0011,1.0,0.05
0,0.9144,0.915,0.8673,0.9134,0.0866,0.0929,0.9992,0.9992,0.0941,1.0022,2.0,0.05
0,0.9129,0.9134,0.8652,0.9119,0.0881,0.1389,0.9975,0.9977,0.0942,1.0032,3.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.1851,0.9967,0.997,0.0943,1.0043,4.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.2311,0.9967,0.997,0.0944,1.0053,5.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.2774,0.9967,0.997,0.0945,1.0064,6.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.324,0.9967,0.997,0.0946,1.0075,7.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.3699,0.9967,0.997,0.0947,1.0085,8.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.4162,0.9967,0.997,0.0948,1.0096,9.0,0.05
0,0.9121,0.9127,0.864,0.9112,0.0888,0.4623,0.9967,0.997,0.0949,1.0107,10.0,0.05
0,0.9106,0.9112,0.8615,0.9098,0.0902,0.5087,0.995,0.9955,0.095,1.0119,11.0,0.05
0,0.9106,0.9112,0.8615,0.9098,0.0902,0.5553,0.995,0.9955,0.0951,1.0129,12.0,0.05
0,0.9106,0.9112,0.8615,0.9098,0.0902,0.6014,0.995,0.9955,0.0952,1.014,13.0,0.05
0,0.9098,0.9105,0.8602,0.9091,0.0909,0.6478,0.9942,0.9947,0.0953,1.015,14.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.6942,0.9925,0.9932,0.0954,1.0161,15.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.7405,0.9925,0.9932,0.0955,1.0172,16.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.7869,0.9925,0.9932,0.0956,1.0182,17.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.8331,0.9925,0.9932,0.0957,1.0193,18.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.8796,0.9925,0.9932,0.0958,1.0203,19.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.9256,0.9925,0.9932,0.0959,1.0214,20.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,0.9722,0.9925,0.9932,0.096,1.0225,21.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,1.0185,0.9925,0.9932,0.0961,1.0236,22.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,1.065,0.9925,0.9932,0.0962,1.0246,23.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,1.1113,0.9925,0.9932,0.0963,1.0257,24.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,1.1576,0.9925,0.9932,0.0964,1.0267,25.0,0.05
0,0.9083,0.909,0.8578,0.9077,0.0923,1.2041,0.9925,0.9932,0.0965,1.0278,26.0,0.05
0,0.9068,0.9075,0.8562,0.906,0.094,1.2495,0.9909,0.9917,0.0966,1.0289,27.0,0.05
0,0.9068,0.9075,0.8562,0.906,0.094,1.2959,0.9909,0.9917,0.0967,1.0299,28.0,0.05
0,0.9061,0.9067,0.8554,0.9052,0.0948,1.3422,0.9901,0.9909,0.0968,1.031,29.0,0.05
0,0.9061,0.9067,0.8554,0.9052,0.0948,1.3889,0.9901,0.9909,0.0969,1.0321,30.0,0.05
0,0.9053,0.906,0.8542,0.9045,0.0955,1.4349,0.9892,0.9902,0.097,1.0332,31.0,0.05
0,0.9038,0.9044,0.8522,0.903,0.097,1.4814,0.9876,0.9886,0.0971,1.0343,32.0,0.05
0,0.9023,0.9029,0.8506,0.9013,0.0987,1.5282,0.9859,0.9871,0.0972,1.0353,33.0,0.05
0,0.9023,0.9029,0.8506,0.9013,0.0987,1.5745,0.9859,0.9871,0.0973,1.0364,34.0,0.05
0,0.9023,0.9029,0.8506,0.9013,0.0987,1.6208,0.9859,0.9871,0.0974,1.0375,35.0,0.05
0,0.9023,0.9029,0.8506,0.9013,0.0987,1.6676,0.9859,0.9871,0.0975,1.0386,36.0,0.05
