,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.5144,0.4988,0.4836,0.0154,0.9846,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.4788,0.4641,0.4834,0.0029,0.9971,25.0,0.9308,0.9644,0.1128,1.201,1.0,0.05
0,0.4174,0.4046,0.4841,0.0,1.0,44.8597,0.8115,0.903,0.144,1.5329,2.0,0.05
0,0.3455,0.3348,0.4841,0.0,1.0,65.5201,0.6716,0.8311,0.1785,1.9001,3.0,0.05
0,0.2614,0.2533,0.4841,0.0,1.0,82.5618,0.5081,0.747,0.2149,2.2876,4.0,0.05
0,0.1879,0.1821,0.4841,0.0,1.0,100.5508,0.3652,0.6735,0.2522,2.6853,5.0,0.05
0,0.1379,0.1336,0.4841,0.0,1.0,115.3554,0.268,0.6235,0.2897,3.0849,6.0,0.05
0,0.0841,0.0815,0.4841,0.0,1.0,130.7551,0.1635,0.5697,0.3269,3.4809,7.0,0.05
0,0.0523,0.0507,0.4841,0.0,1.0,143.416,0.1016,0.5379,0.3629,3.864,8.0,0.05
0,0.0318,0.0308,0.4841,0.0,1.0,155.9649,0.0619,0.5174,0.3965,4.2221,9.0,0.05
0,0.0144,0.014,0.4841,0.0,1.0,166.1565,0.028,0.5,0.4276,4.5527,10.0,0.05
0,0.0053,0.0051,0.4841,0.0,1.0,176.2166,0.0103,0.4909,0.4563,4.8581,11.0,0.05
0,0.0015,0.0015,0.4841,0.0,1.0,184.5628,0.0029,0.4871,0.483,5.1424,12.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,192.8354,0.0015,0.4864,0.5077,5.4054,13.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,199.6228,0.0,0.4856,0.5302,5.6457,14.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,206.271,0.0,0.4856,0.5506,5.8626,15.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,211.7283,0.0,0.4856,0.5693,6.0615,16.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,217.1231,0.0,0.4856,0.5862,6.2416,17.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,221.5699,0.0,0.4856,0.6017,6.4071,18.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,226.006,0.0,0.4856,0.616,6.5589,19.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,229.6033,0.0,0.4856,0.6291,6.6978,20.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,233.3197,0.0,0.4856,0.6411,6.8258,21.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,236.3161,0.0,0.4856,0.6525,6.9469,22.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,239.4715,0.0,0.4856,0.663,7.0597,23.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,241.9737,0.0,0.4856,0.6731,7.1668,24.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,244.616,0.0,0.4856,0.6823,7.265,25.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,246.6892,0.0,0.4856,0.6912,7.3591,26.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,249.0049,0.0,0.4856,0.6996,7.4486,27.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,250.7546,0.0,0.4856,0.7076,7.5341,28.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,252.8075,0.0,0.4856,0.7152,7.6151,29.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,254.2866,0.0,0.4856,0.7224,7.6922,30.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,256.1133,0.0,0.4856,0.7294,7.766,31.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,257.4271,0.0,0.4856,0.7361,7.8374,32.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,259.0518,0.0,0.4856,0.7425,7.9052,33.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,260.205,0.0,0.4856,0.7486,7.9708,34.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,261.6801,0.0,0.4856,0.7545,8.0338,35.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,262.668,0.0,0.4856,0.7603,8.0947,36.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,264.0065,0.0,0.4856,0.7656,8.1522,37.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,264.8746,0.0,0.4856,0.771,8.2093,38.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,266.1209,0.0,0.4856,0.7761,8.2635,39.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,266.8708,0.0,0.4856,0.781,8.3158,40.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,268.0105,0.0,0.4856,0.7858,8.3662,41.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,268.691,0.0,0.4856,0.7904,8.4156,42.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,269.7726,0.0,0.4856,0.7949,8.4634,43.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,270.3791,0.0,0.4856,0.7992,8.5097,44.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,271.3979,0.0,0.4856,0.8035,8.5547,45.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,271.9562,0.0,0.4856,0.8076,8.5985,46.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,272.9061,0.0,0.4856,0.8115,8.6403,47.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,273.4048,0.0,0.4856,0.8154,8.6819,48.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,274.2892,0.0,0.4856,0.8191,8.7209,49.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,274.7299,0.0,0.4856,0.8227,8.7594,50.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,275.5846,0.0,0.4856,0.8262,8.7965,51.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,275.9924,0.0,0.4856,0.8297,8.8338,52.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,276.8203,0.0,0.4856,0.833,8.869,53.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,277.1795,0.0,0.4856,0.8363,8.904,54.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,277.9855,0.0,0.4856,0.8395,8.9383,55.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,278.3159,0.0,0.4856,0.8427,8.9725,56.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,279.0778,0.0,0.4856,0.8458,9.0052,57.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,279.3702,0.0,0.4856,0.8488,9.0378,58.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,280.1023,0.0,0.4856,0.8517,9.0687,59.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,280.3615,0.0,0.4856,0.8546,9.0993,60.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,281.071,0.0,0.4856,0.8573,9.1281,61.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,281.2817,0.0,0.4856,0.86,9.1569,62.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,281.9732,0.0,0.4856,0.8626,9.1846,63.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,282.1574,0.0,0.4856,0.8652,9.2117,64.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,282.8199,0.0,0.4856,0.8675,9.2372,65.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,282.9875,0.0,0.4856,0.8701,9.264,66.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,283.6279,0.0,0.4856,0.8724,9.2886,67.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,283.7846,0.0,0.4856,0.8748,9.3145,68.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,284.4087,0.0,0.4856,0.8771,9.3387,69.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,284.5674,0.0,0.4856,0.8795,9.364,70.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,285.1763,0.0,0.4856,0.8816,9.3872,71.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,285.3185,0.0,0.4856,0.8838,9.4106,72.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,285.9155,0.0,0.4856,0.886,9.4335,73.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,286.03,0.0,0.4856,0.888,9.4553,74.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,286.6046,0.0,0.4856,0.89,9.4767,75.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,286.7154,0.0,0.4856,0.8921,9.4982,76.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,287.2756,0.0,0.4856,0.894,9.5185,77.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,287.3714,0.0,0.4856,0.8959,9.5391,78.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,287.9192,0.0,0.4856,0.8978,9.5589,79.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,288.0037,0.0,0.4856,0.8996,9.5784,80.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,288.5366,0.0,0.4856,0.9014,9.5976,81.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,288.603,0.0,0.4856,0.9032,9.6165,82.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,289.1204,0.0,0.4856,0.9049,9.6346,83.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,289.1749,0.0,0.4856,0.9066,9.6529,84.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,289.675,0.0,0.4856,0.9082,9.67,85.0,0.05
