,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.5182,0.5038,0.4862,0.0966,0.9034,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.5174,0.5031,0.4857,0.0939,0.9061,0.0495,0.9985,0.9992,0.094,1.0012,1.0,0.05
0,0.5174,0.5031,0.4857,0.0939,0.9061,0.099,0.9985,0.9992,0.0941,1.0024,2.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.1483,0.9971,0.9985,0.0943,1.0036,3.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.1977,0.9971,0.9985,0.0944,1.0047,4.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.247,0.9971,0.9985,0.0945,1.0059,5.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.2965,0.9971,0.9985,0.0946,1.007,6.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.3458,0.9971,0.9985,0.0947,1.0082,7.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.3951,0.9971,0.9985,0.0948,1.0093,8.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.4444,0.9971,0.9985,0.0949,1.0104,9.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.4939,0.9971,0.9985,0.095,1.0115,10.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.5434,0.9971,0.9985,0.0951,1.0127,11.0,0.05
0,0.5167,0.5023,0.4853,0.0912,0.9088,0.5926,0.9971,0.9985,0.0952,1.0138,12.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.6419,0.9942,0.997,0.0953,1.0149,13.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.691,0.9942,0.997,0.0954,1.016,14.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.7404,0.9942,0.997,0.0955,1.0172,15.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.7896,0.9942,0.997,0.0956,1.0184,16.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.8389,0.9942,0.997,0.0957,1.0195,17.0,0.05
0,0.5152,0.5008,0.4845,0.0883,0.9117,0.8881,0.9942,0.997,0.0959,1.0206,18.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,0.9373,0.9927,0.9962,0.096,1.0218,19.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,0.9865,0.9927,0.9962,0.0961,1.0229,20.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.0356,0.9927,0.9962,0.0962,1.0241,21.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.0848,0.9927,0.9962,0.0963,1.0253,22.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.1344,0.9927,0.9962,0.0964,1.0265,23.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.1836,0.9927,0.9962,0.0965,1.0276,24.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.2328,0.9927,0.9962,0.0966,1.0288,25.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.2819,0.9927,0.9962,0.0967,1.0299,26.0,0.05
0,0.5144,0.5,0.4841,0.0882,0.9118,1.3313,0.9927,0.9962,0.0968,1.0309,27.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.3806,0.9912,0.9955,0.0969,1.0321,28.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.43,0.9912,0.9955,0.097,1.0333,29.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.4796,0.9912,0.9955,0.0972,1.0345,30.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.529,0.9912,0.9955,0.0973,1.0356,31.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.5784,0.9912,0.9955,0.0974,1.0368,32.0,0.05
0,0.5136,0.4993,0.4837,0.0881,0.9119,1.6274,0.9912,0.9955,0.0975,1.038,33.0,0.05
0,0.5129,0.4986,0.4834,0.0879,0.9121,1.6766,0.9898,0.9947,0.0976,1.0391,34.0,0.05
0,0.5129,0.4986,0.4834,0.0879,0.9121,1.726,0.9898,0.9947,0.0977,1.0403,35.0,0.05
0,0.5121,0.4978,0.4831,0.0878,0.9122,1.7754,0.9883,0.9939,0.0978,1.0415,36.0,0.05
0,0.5121,0.4978,0.4831,0.0878,0.9122,1.8245,0.9883,0.9939,0.0979,1.0426,37.0,0.05
0,0.5121,0.4978,0.4831,0.0878,0.9122,1.8736,0.9883,0.9939,0.098,1.0437,38.0,0.05
0,0.5121,0.4978,0.4831,0.0878,0.9122,1.9228,0.9883,0.9939,0.0981,1.0449,39.0,0.05
0,0.5121,0.4978,0.4831,0.0878,0.9122,1.9721,0.9883,0.9939,0.0982,1.046,40.0,0.05
