,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.7144,0.7171,0.6345,0.7313,0.2687,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.4909,0.4885,0.4785,0.44,0.56,25.0,0.6394,0.7083,0.1095,1.1656,1.0,0.05
0,0.2894,0.2843,0.4453,0.1457,0.8543,25.8464,0.3828,0.5432,0.1236,1.3156,2.0,0.05
0,0.222,0.216,0.4717,0.0339,0.9661,39.1706,0.2725,0.453,0.1369,1.4572,3.0,0.05
0,0.1652,0.1603,0.4811,0.0072,0.9928,39.4351,0.2185,0.4326,0.1488,1.5844,4.0,0.05
0,0.1515,0.1469,0.4826,0.0036,0.9964,49.6071,0.1835,0.3962,0.1598,1.7014,5.0,0.05
0,0.1167,0.1131,0.4833,0.0017,0.9983,49.5253,0.1506,0.3841,0.1698,1.8081,6.0,0.05
0,0.1106,0.1072,0.4841,0.0,1.0,58.2273,0.1304,0.3614,0.1796,1.9118,7.0,0.05
0,0.0856,0.083,0.4841,0.0,1.0,58.0786,0.1103,0.3576,0.1883,2.0045,8.0,0.05
0,0.0788,0.0764,0.4841,0.0,1.0,65.75,0.0965,0.3447,0.1971,2.0989,9.0,0.05
0,0.0659,0.0639,0.4841,0.0,1.0,65.7813,0.0848,0.3409,0.2053,2.1863,10.0,0.05
0,0.0659,0.0639,0.4841,0.0,1.0,72.5477,0.0827,0.3379,0.2133,2.2708,11.0,0.05
0,0.053,0.0514,0.4841,0.0,1.0,72.4197,0.0689,0.3311,0.2206,2.349,12.0,0.05
0,0.0477,0.0463,0.4841,0.0,1.0,78.6209,0.0594,0.3227,0.2279,2.426,13.0,0.05
0,0.0432,0.0419,0.4841,0.0,1.0,78.4217,0.0551,0.3212,0.2348,2.4995,14.0,0.05
0,0.0348,0.0338,0.4841,0.0,1.0,84.3808,0.0435,0.3129,0.2417,2.5737,15.0,0.05
0,0.0348,0.0338,0.4841,0.0,1.0,84.1282,0.0456,0.3159,0.2481,2.6419,16.0,0.05
0,0.0326,0.0316,0.4841,0.0,1.0,89.8623,0.0403,0.3106,0.2549,2.7143,17.0,0.05
0,0.028,0.0272,0.4841,0.0,1.0,89.7401,0.0371,0.3106,0.2611,2.7804,18.0,0.05
0,0.0242,0.0235,0.4841,0.0,1.0,95.1386,0.0318,0.3068,0.2674,2.847,19.0,0.05
0,0.022,0.0213,0.4841,0.0,1.0,95.0155,0.0276,0.303,0.2735,2.9119,20.0,0.05
0,0.0227,0.022,0.4841,0.0,1.0,100.2158,0.0297,0.3053,0.2796,2.9767,21.0,0.05
0,0.0197,0.0191,0.4841,0.0,1.0,100.2989,0.0265,0.3038,0.2855,3.0398,22.0,0.05
0,0.0212,0.0206,0.4841,0.0,1.0,105.1792,0.0286,0.3053,0.2912,3.1007,23.0,0.05
0,0.0174,0.0169,0.4841,0.0,1.0,105.2179,0.0244,0.303,0.297,3.1618,24.0,0.05
0,0.0167,0.0162,0.4841,0.0,1.0,109.9088,0.0223,0.3008,0.3025,3.221,25.0,0.05
0,0.0152,0.0147,0.4841,0.0,1.0,109.8958,0.0212,0.3008,0.3079,3.278,26.0,0.05
0,0.0121,0.0117,0.4841,0.0,1.0,114.5548,0.0159,0.2962,0.3133,3.3355,27.0,0.05
0,0.0129,0.0125,0.4841,0.0,1.0,114.5886,0.018,0.2985,0.3185,3.3912,28.0,0.05
0,0.0098,0.0095,0.4841,0.0,1.0,119.1469,0.0127,0.2939,0.3239,3.4489,29.0,0.05
0,0.0091,0.0088,0.4841,0.0,1.0,119.0588,0.0127,0.2947,0.329,3.5031,30.0,0.05
0,0.0083,0.0081,0.4841,0.0,1.0,123.5325,0.0106,0.2924,0.3342,3.5584,31.0,0.05
0,0.0083,0.0081,0.4841,0.0,1.0,123.5729,0.0117,0.2939,0.3391,3.6106,32.0,0.05
0,0.0076,0.0073,0.4841,0.0,1.0,128.0249,0.0106,0.2932,0.3445,3.6677,33.0,0.05
0,0.0083,0.0081,0.4841,0.0,1.0,128.0536,0.0117,0.2939,0.3492,3.7179,34.0,0.05
0,0.0061,0.0059,0.4841,0.0,1.0,132.2767,0.0085,0.2917,0.3541,3.7702,35.0,0.05
0,0.0068,0.0066,0.4841,0.0,1.0,132.3787,0.0095,0.2924,0.3589,3.8209,36.0,0.05
0,0.0061,0.0059,0.4841,0.0,1.0,136.5517,0.0085,0.2917,0.3636,3.8711,37.0,0.05
0,0.0068,0.0066,0.4841,0.0,1.0,136.638,0.0095,0.2924,0.3682,3.9206,38.0,0.05
0,0.0061,0.0059,0.4841,0.0,1.0,140.7647,0.0085,0.2917,0.373,3.9719,39.0,0.05
0,0.0061,0.0059,0.4841,0.0,1.0,140.8853,0.0085,0.2917,0.3776,4.0208,40.0,0.05
0,0.0053,0.0051,0.4841,0.0,1.0,144.9323,0.0074,0.2909,0.3824,4.0716,41.0,0.05
0,0.0045,0.0044,0.4841,0.0,1.0,145.0945,0.0064,0.2902,0.3869,4.119,42.0,0.05
