,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9091,0.9101,0.8564,0.9092,0.0908,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.4735,0.4741,0.4718,0.4763,0.5237,23.3345,0.5208,0.5644,0.1144,1.2176,1.0,0.05
0,0.1992,0.1978,0.4343,0.1564,0.8436,38.5478,0.2192,0.2902,0.1453,1.5472,2.0,0.05
0,0.1136,0.1138,0.4393,0.1163,0.8837,55.602,0.125,0.2045,0.1769,1.8839,3.0,0.05
0,0.0841,0.0852,0.4386,0.113,0.887,67.1514,0.0925,0.175,0.2054,2.1871,4.0,0.05
0,0.0674,0.0691,0.4382,0.1112,0.8888,79.4347,0.0742,0.1583,0.2309,2.4583,5.0,0.05
0,0.0606,0.0625,0.438,0.1105,0.8895,88.3351,0.0667,0.1515,0.2535,2.6994,6.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,97.4523,0.0642,0.1492,0.2739,2.9163,7.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,104.4564,0.0642,0.1492,0.292,3.1088,8.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,111.4002,0.0642,0.1492,0.3081,3.2809,9.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,116.4054,0.0642,0.1492,0.3211,3.4192,10.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,120.7884,0.0642,0.1492,0.3315,3.53,11.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,123.8118,0.0642,0.1492,0.3395,3.6152,12.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,126.1125,0.0642,0.1492,0.3451,3.6749,13.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,127.5232,0.0642,0.1492,0.3489,3.7149,14.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,128.5752,0.0642,0.1492,0.3515,3.7425,15.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,129.1832,0.0642,0.1492,0.3531,3.76,16.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,129.5723,0.0642,0.1492,0.3541,3.7707,17.0,0.05
0,0.0583,0.0603,0.438,0.1102,0.8898,129.8195,0.0642,0.1492,0.3548,3.778,18.0,0.05
