,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9091,0.9101,0.8564,0.9092,0.0908,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.9091,0.9101,0.8564,0.9092,0.0908,0.0408,1.0,1.0,0.094,1.0009,1.0,0.05
0,0.9091,0.9101,0.8564,0.9092,0.0908,0.0815,1.0,1.0,0.0941,1.0019,2.0,0.05
0,0.9091,0.9101,0.8564,0.9092,0.0908,0.1226,1.0,1.0,0.0942,1.0028,3.0,0.05
0,0.9083,0.9093,0.8556,0.9084,0.0916,0.1631,0.9992,0.9992,0.0943,1.0038,4.0,0.05
0,0.9083,0.9093,0.8556,0.9084,0.0916,0.2037,0.9992,0.9992,0.0944,1.0047,5.0,0.05
0,0.9076,0.9085,0.8548,0.9076,0.0924,0.244,0.9983,0.9985,0.0944,1.0056,6.0,0.05
0,0.9076,0.9085,0.8548,0.9076,0.0924,0.2845,0.9983,0.9985,0.0945,1.0065,7.0,0.05
0,0.9068,0.9077,0.854,0.9067,0.0933,0.3253,0.9975,0.9977,0.0946,1.0075,8.0,0.05
0,0.9038,0.9047,0.8496,0.9039,0.0961,0.3661,0.9942,0.9947,0.0947,1.0085,9.0,0.05
0,0.9038,0.9047,0.8496,0.9039,0.0961,0.4064,0.9942,0.9947,0.0948,1.0094,10.0,0.05
0,0.8992,0.9002,0.8433,0.8995,0.1005,0.4466,0.9892,0.9902,0.0949,1.0104,11.0,0.05
0,0.8992,0.9002,0.8433,0.8995,0.1005,0.487,0.9892,0.9902,0.095,1.0113,12.0,0.05
0,0.8985,0.8994,0.8425,0.8986,0.1014,0.5276,0.9883,0.9894,0.0951,1.0123,13.0,0.05
0,0.8985,0.8994,0.8425,0.8986,0.1014,0.5681,0.9883,0.9894,0.0952,1.0132,14.0,0.05
0,0.8985,0.8994,0.8425,0.8986,0.1014,0.6085,0.9883,0.9894,0.0952,1.0141,15.0,0.05
0,0.8977,0.8987,0.8418,0.8978,0.1022,0.6485,0.9875,0.9886,0.0953,1.015,16.0,0.05
0,0.897,0.8979,0.8406,0.8971,0.1029,0.6893,0.9867,0.9879,0.0954,1.016,17.0,0.05
0,0.897,0.8979,0.8406,0.8971,0.1029,0.73,0.9867,0.9879,0.0955,1.0169,18.0,0.05
0,0.897,0.8979,0.8406,0.8971,0.1029,0.7706,0.9867,0.9879,0.0956,1.0178,19.0,0.05
0,0.8962,0.8971,0.8398,0.8963,0.1037,0.8112,0.9858,0.9871,0.0957,1.0187,20.0,0.05
0,0.8939,0.8949,0.8363,0.8943,0.1057,0.8515,0.9833,0.9848,0.0958,1.0196,21.0,0.05
0,0.8924,0.8934,0.8343,0.8927,0.1073,0.892,0.9817,0.9833,0.0959,1.0206,22.0,0.05
0,0.8917,0.8926,0.8336,0.8919,0.1081,0.9327,0.9808,0.9826,0.0959,1.0215,23.0,0.05
0,0.8902,0.8911,0.8316,0.8904,0.1096,0.9733,0.9792,0.9811,0.096,1.0224,24.0,0.05
0,0.8879,0.8889,0.8285,0.8882,0.1118,1.0141,0.9767,0.9788,0.0961,1.0233,25.0,0.05
0,0.8871,0.8881,0.8274,0.8875,0.1125,1.0547,0.9758,0.978,0.0962,1.0242,26.0,0.05
0,0.8856,0.8866,0.8254,0.886,0.114,1.0957,0.9742,0.9765,0.0963,1.0252,27.0,0.05
0,0.8848,0.8859,0.8243,0.8854,0.1146,1.1364,0.9733,0.9758,0.0964,1.026,28.0,0.05
0,0.8848,0.8859,0.8243,0.8854,0.1146,1.177,0.9733,0.9758,0.0964,1.0269,29.0,0.05
0,0.8841,0.8852,0.8232,0.8847,0.1153,1.218,0.9725,0.975,0.0965,1.0279,30.0,0.05
0,0.8833,0.8844,0.822,0.884,0.116,1.2584,0.9717,0.9742,0.0966,1.0288,31.0,0.05
0,0.8826,0.8837,0.8209,0.8834,0.1166,1.2988,0.9708,0.9735,0.0967,1.0297,32.0,0.05
