,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.897,0.8958,0.8609,0.8898,0.1102,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.6561,0.6498,0.5977,0.5601,0.4399,25.0,0.7314,0.7591,0.1221,1.3005,1.0,0.05
0,0.3879,0.3769,0.4715,0.0494,0.9506,33.8736,0.4324,0.4909,0.1516,1.614,2.0,0.05
0,0.2682,0.2599,0.4841,0.0,1.0,50.8454,0.299,0.3712,0.1833,1.9512,3.0,0.05
0,0.175,0.1696,0.4841,0.0,1.0,59.248,0.1951,0.278,0.2134,2.2717,4.0,0.05
0,0.1045,0.1013,0.4841,0.0,1.0,73.6045,0.1166,0.2076,0.2429,2.5867,5.0,0.05
0,0.0553,0.0536,0.4841,0.0,1.0,81.6593,0.0617,0.1583,0.2714,2.89,6.0,0.05
0,0.0288,0.0279,0.4841,0.0,1.0,94.7519,0.0321,0.1318,0.2997,3.1911,7.0,0.05
0,0.0152,0.0147,0.4841,0.0,1.0,102.7204,0.0169,0.1182,0.3274,3.4864,8.0,0.05
0,0.0083,0.0081,0.4841,0.0,1.0,115.2416,0.0093,0.1114,0.3554,3.784,9.0,0.05
0,0.0015,0.0015,0.4841,0.0,1.0,123.4034,0.0017,0.1045,0.3834,4.082,10.0,0.05
0,0.0008,0.0007,0.4841,0.0,1.0,135.6433,0.0008,0.1038,0.4116,4.3828,11.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,144.0392,0.0,0.103,0.4399,4.6842,12.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,156.2301,0.0,0.103,0.4685,4.9888,13.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,164.8494,0.0,0.103,0.497,5.2923,14.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,176.9896,0.0,0.103,0.5258,5.5985,15.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,185.7944,0.0,0.103,0.5544,5.9026,16.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,197.9621,0.0,0.103,0.5831,6.2082,17.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,206.9643,0.0,0.103,0.6118,6.514,18.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,219.1305,0.0,0.103,0.6409,6.8234,19.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,228.2826,0.0,0.103,0.6696,7.1298,20.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,240.4338,0.0,0.103,0.6987,7.4389,21.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,249.6818,0.0,0.103,0.7276,7.7466,22.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,261.8329,0.0,0.103,0.7565,8.0551,23.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,271.2068,0.0,0.103,0.7855,8.3632,24.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,283.3569,0.0,0.103,0.8146,8.6731,25.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,292.8119,0.0,0.103,0.8437,8.983,26.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,304.9181,0.0,0.103,0.8726,9.2911,27.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,314.463,0.0,0.103,0.9017,9.6009,28.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,326.5928,0.0,0.103,0.9307,9.9097,29.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,336.1642,0.0,0.103,0.96,10.2213,30.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,348.2758,0.0,0.103,0.9891,10.531,31.0,0.05
0,0.0,0.0,0.4841,0.0,1.0,357.9043,0.0,0.103,1.0184,10.8436,32.0,0.05
