,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.897,0.8958,0.8609,0.8898,0.1102,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.897,0.8958,0.8609,0.8898,0.1102,0.0461,1.0,1.0,0.094,1.001,1.0,0.05
0,0.897,0.8958,0.8609,0.8898,0.1102,0.0915,1.0,1.0,0.0941,1.0021,2.0,0.05
0,0.897,0.8958,0.8609,0.8898,0.1102,0.1375,1.0,1.0,0.0942,1.0031,3.0,0.05
0,0.897,0.8958,0.8609,0.8898,0.1102,0.1831,1.0,1.0,0.0943,1.0041,4.0,0.05
0,0.8955,0.8943,0.8588,0.8882,0.1118,0.2289,0.9983,0.9985,0.0944,1.0051,5.0,0.05
0,0.8939,0.8927,0.8572,0.8864,0.1136,0.2744,0.9966,0.997,0.0945,1.0061,6.0,0.05
0,0.8939,0.8927,0.8572,0.8864,0.1136,0.3201,0.9966,0.997,0.0946,1.0072,7.0,0.05
0,0.8939,0.8927,0.8572,0.8864,0.1136,0.3659,0.9966,0.997,0.0947,1.0083,8.0,0.05
0,0.8939,0.8927,0.8572,0.8864,0.1136,0.4112,0.9966,0.997,0.0948,1.0093,9.0,0.05
0,0.8932,0.8919,0.8564,0.8855,0.1145,0.4566,0.9958,0.9962,0.0949,1.0103,10.0,0.05
0,0.8932,0.8919,0.8564,0.8855,0.1145,0.5019,0.9958,0.9962,0.095,1.0113,11.0,0.05
0,0.8932,0.8919,0.8564,0.8855,0.1145,0.5471,0.9958,0.9962,0.0951,1.0123,12.0,0.05
0,0.8932,0.8919,0.8564,0.8855,0.1145,0.5928,0.9958,0.9962,0.0952,1.0133,13.0,0.05
0,0.8932,0.8919,0.8564,0.8855,0.1145,0.6383,0.9958,0.9962,0.0953,1.0143,14.0,0.05
0,0.8924,0.8912,0.8556,0.8846,0.1154,0.6841,0.9949,0.9955,0.0954,1.0154,15.0,0.05
0,0.8924,0.8912,0.8556,0.8846,0.1154,0.7292,0.9949,0.9955,0.0955,1.0164,16.0,0.05
0,0.8924,0.8912,0.8556,0.8846,0.1154,0.7747,0.9949,0.9955,0.0956,1.0174,17.0,0.05
0,0.8924,0.8912,0.8556,0.8846,0.1154,0.8199,0.9949,0.9955,0.0956,1.0184,18.0,0.05
0,0.8917,0.8904,0.8548,0.8836,0.1164,0.8649,0.9941,0.9947,0.0957,1.0194,19.0,0.05
0,0.8917,0.8904,0.8548,0.8836,0.1164,0.9108,0.9941,0.9947,0.0958,1.0204,20.0,0.05
0,0.8917,0.8904,0.8548,0.8836,0.1164,0.9557,0.9941,0.9947,0.0959,1.0214,21.0,0.05
0,0.8917,0.8904,0.8548,0.8836,0.1164,1.0012,0.9941,0.9947,0.096,1.0224,22.0,0.05
0,0.8909,0.8896,0.854,0.8827,0.1173,1.0464,0.9932,0.9939,0.0961,1.0233,23.0,0.05
0,0.8909,0.8896,0.854,0.8827,0.1173,1.0916,0.9932,0.9939,0.0962,1.0244,24.0,0.05
0,0.8902,0.8888,0.8532,0.8818,0.1182,1.1363,0.9924,0.9932,0.0963,1.0254,25.0,0.05
0,0.8894,0.888,0.8524,0.8809,0.1191,1.1808,0.9916,0.9924,0.0964,1.0264,26.0,0.05
0,0.8894,0.888,0.8524,0.8809,0.1191,1.2264,0.9916,0.9924,0.0965,1.0274,27.0,0.05
0,0.8886,0.8872,0.8516,0.88,0.12,1.2715,0.9907,0.9917,0.0966,1.0285,28.0,0.05
0,0.8886,0.8872,0.8516,0.88,0.12,1.3167,0.9907,0.9917,0.0967,1.0295,29.0,0.05
0,0.8879,0.8865,0.8508,0.8791,0.1209,1.362,0.9899,0.9909,0.0968,1.0305,30.0,0.05
0,0.8879,0.8865,0.8508,0.8791,0.1209,1.4068,0.9899,0.9909,0.0969,1.0315,31.0,0.05
0,0.8879,0.8865,0.8508,0.8791,0.1209,1.452,0.9899,0.9909,0.097,1.0325,32.0,0.05
0,0.8871,0.8857,0.85,0.8782,0.1218,1.4966,0.989,0.9902,0.0971,1.0334,33.0,0.05
0,0.8871,0.8857,0.85,0.8782,0.1218,1.5414,0.989,0.9902,0.0971,1.0344,34.0,0.05
0,0.8871,0.8857,0.85,0.8782,0.1218,1.5861,0.989,0.9902,0.0972,1.0354,35.0,0.05
0,0.8864,0.8849,0.8492,0.8773,0.1227,1.6316,0.9882,0.9894,0.0973,1.0365,36.0,0.05
0,0.8856,0.8842,0.8479,0.8765,0.1235,1.6764,0.9873,0.9886,0.0974,1.0375,37.0,0.05
0,0.8856,0.8842,0.8479,0.8765,0.1235,1.7209,0.9873,0.9886,0.0975,1.0385,38.0,0.05
0,0.8848,0.8834,0.8471,0.8756,0.1244,1.765,0.9865,0.9879,0.0976,1.0395,39.0,0.05
0,0.8841,0.8826,0.8463,0.8747,0.1253,1.8097,0.9856,0.9871,0.0977,1.0405,40.0,0.05
0,0.8833,0.8819,0.845,0.874,0.126,1.8542,0.9848,0.9864,0.0978,1.0415,41.0,0.05
0,0.8833,0.8819,0.845,0.874,0.126,1.8985,0.9848,0.9864,0.0979,1.0424,42.0,0.05
0,0.8818,0.8803,0.8429,0.8723,0.1277,1.9432,0.9831,0.9848,0.098,1.0435,43.0,0.05
0,0.8818,0.8803,0.8429,0.8723,0.1277,1.9882,0.9831,0.9848,0.0981,1.0444,44.0,0.05
0,0.8803,0.8788,0.8413,0.8705,0.1295,2.0328,0.9814,0.9833,0.0982,1.0454,45.0,0.05
0,0.8795,0.878,0.8405,0.8696,0.1304,2.0778,0.9806,0.9826,0.0983,1.0464,46.0,0.05
0,0.8788,0.8772,0.8397,0.8686,0.1314,2.1232,0.9797,0.9818,0.0984,1.0474,47.0,0.05
0,0.8788,0.8772,0.8397,0.8686,0.1314,2.1678,0.9797,0.9818,0.0985,1.0484,48.0,0.05
0,0.8788,0.8772,0.8397,0.8686,0.1314,2.212,0.9797,0.9818,0.0986,1.0494,49.0,0.05
0,0.8773,0.8757,0.8376,0.867,0.133,2.257,0.978,0.9803,0.0987,1.0504,50.0,0.05
0,0.8758,0.8741,0.836,0.8651,0.1349,2.3014,0.9764,0.9788,0.0987,1.0514,51.0,0.05
0,0.8758,0.8741,0.836,0.8651,0.1349,2.3459,0.9764,0.9788,0.0988,1.0523,52.0,0.05
0,0.8742,0.8726,0.8344,0.8633,0.1367,2.39,0.9747,0.9773,0.0989,1.0533,53.0,0.05
0,0.8742,0.8726,0.8344,0.8633,0.1367,2.4351,0.9747,0.9773,0.099,1.0543,54.0,0.05
0,0.8742,0.8726,0.8344,0.8633,0.1367,2.4802,0.9747,0.9773,0.0991,1.0553,55.0,0.05
0,0.8742,0.8726,0.8344,0.8633,0.1367,2.5242,0.9747,0.9773,0.0992,1.0563,56.0,0.05
0,0.8735,0.8718,0.8331,0.8626,0.1374,2.5687,0.9738,0.9765,0.0993,1.0573,57.0,0.05
0,0.872,0.8703,0.8315,0.8607,0.1393,2.6131,0.9721,0.975,0.0994,1.0583,58.0,0.05
0,0.872,0.8703,0.8315,0.8607,0.1393,2.6574,0.9721,0.975,0.0995,1.0594,59.0,0.05
0,0.872,0.8703,0.8315,0.8607,0.1393,2.7018,0.9721,0.975,0.0996,1.0604,60.0,0.05
0,0.872,0.8703,0.8315,0.8607,0.1393,2.746,0.9721,0.975,0.0997,1.0614,61.0,0.05
0,0.872,0.8703,0.8315,0.8607,0.1393,2.7899,0.9721,0.975,0.0998,1.0624,62.0,0.05
0,0.8712,0.8695,0.8307,0.8597,0.1403,2.8339,0.9713,0.9742,0.0999,1.0634,63.0,0.05
0,0.8712,0.8695,0.8307,0.8597,0.1403,2.8778,0.9713,0.9742,0.1,1.0644,64.0,0.05
0,0.8705,0.8687,0.8299,0.8588,0.1412,2.9222,0.9704,0.9735,0.1001,1.0653,65.0,0.05
0,0.8705,0.8687,0.8299,0.8588,0.1412,2.9668,0.9704,0.9735,0.1002,1.0664,66.0,0.05
0,0.8697,0.8679,0.8291,0.8579,0.1421,3.0113,0.9696,0.9727,0.1002,1.0673,67.0,0.05
0,0.8697,0.8679,0.8291,0.8579,0.1421,3.0561,0.9696,0.9727,0.1003,1.0683,68.0,0.05
0,0.8682,0.8664,0.8271,0.8562,0.1438,3.1003,0.9679,0.9712,0.1004,1.0694,69.0,0.05
