,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.8432,0.8438,0.7755,0.8421,0.1579,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.6152,0.6165,0.5553,0.6243,0.3757,24.8864,0.7296,0.772,0.1349,1.4361,1.0,0.05
0,0.3295,0.3315,0.4257,0.3629,0.6371,38.1266,0.3908,0.4864,0.1891,2.013,2.0,0.05
0,0.1515,0.1532,0.421,0.1896,0.8104,55.6965,0.1797,0.3083,0.2437,2.5951,3.0,0.05
0,0.0606,0.0614,0.4485,0.0828,0.9172,67.3482,0.0719,0.2174,0.2967,3.1588,4.0,0.05
0,0.0205,0.0207,0.4712,0.0271,0.9729,81.7447,0.0243,0.1773,0.3465,3.6893,5.0,0.05
0,0.0098,0.0099,0.4782,0.0121,0.9879,91.437,0.0117,0.1667,0.3922,4.1759,6.0,0.05
0,0.0083,0.0084,0.4789,0.0106,0.9894,102.4723,0.0099,0.1652,0.4322,4.6021,7.0,0.05
0,0.0076,0.0076,0.4796,0.0091,0.9909,109.3852,0.009,0.1644,0.4661,4.9629,8.0,0.05
0,0.0068,0.0069,0.4796,0.0091,0.9909,116.9924,0.0081,0.1636,0.4943,5.2634,9.0,0.05
0,0.0068,0.0069,0.4796,0.0091,0.9909,121.5355,0.0081,0.1636,0.5177,5.5117,10.0,0.05
0,0.0061,0.0062,0.4796,0.0091,0.9909,126.6702,0.0072,0.1629,0.5372,5.72,11.0,0.05
0,0.0061,0.0062,0.4796,0.0091,0.9909,129.9939,0.0072,0.1629,0.5548,5.9068,12.0,0.05
0,0.0061,0.0062,0.4796,0.0091,0.9909,134.2177,0.0072,0.1629,0.5717,6.0873,13.0,0.05
0,0.0061,0.0062,0.4796,0.0091,0.9909,137.2191,0.0072,0.1629,0.588,6.2609,14.0,0.05
0,0.0061,0.0062,0.4796,0.0091,0.9909,141.2011,0.0072,0.1629,0.6037,6.4278,15.0,0.05
0,0.0053,0.0054,0.4796,0.0091,0.9909,144.2026,0.0063,0.1621,0.6198,6.5991,16.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,148.1185,0.0054,0.1614,0.6356,6.7676,17.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,150.9667,0.0054,0.1614,0.6509,6.9309,18.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,154.5982,0.0054,0.1614,0.6657,7.0875,19.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,157.1876,0.0054,0.1614,0.6796,7.2359,20.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,160.5695,0.0054,0.1614,0.6933,7.3815,21.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,163.0638,0.0054,0.1614,0.7069,7.5266,22.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,166.1244,0.0054,0.1614,0.7194,7.6599,23.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,168.2552,0.0054,0.1614,0.7311,7.7848,24.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,170.8342,0.0054,0.1614,0.7417,7.8969,25.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,172.558,0.0054,0.1614,0.7512,7.9981,26.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,174.7162,0.0054,0.1614,0.7597,8.0892,27.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,176.1055,0.0054,0.1614,0.7677,8.174,28.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,177.7316,0.0054,0.1614,0.7743,8.244,29.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,178.771,0.0054,0.1614,0.78,8.3051,30.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,179.9452,0.0054,0.1614,0.785,8.3578,31.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,180.7298,0.0054,0.1614,0.7894,8.405,32.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,181.5808,0.0054,0.1614,0.7928,8.4414,33.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,182.0374,0.0054,0.1614,0.7954,8.4687,34.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,182.5854,0.0054,0.1614,0.7977,8.4937,35.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,182.9068,0.0054,0.1614,0.7996,8.5136,36.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,183.2323,0.0054,0.1614,0.801,8.5282,37.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,183.426,0.0054,0.1614,0.802,8.5395,38.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,183.6247,0.0054,0.1614,0.8028,8.548,39.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,183.7423,0.0054,0.1614,0.8035,8.5555,40.0,0.05
0,0.0045,0.0047,0.4796,0.009,0.991,183.9072,0.0054,0.1614,0.8042,8.5628,41.0,0.05
