,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.8432,0.8438,0.7755,0.8421,0.1579,0.0,1.0,1.0,0.0939,1.0,0.0,0.05
0,0.8432,0.8438,0.7755,0.8421,0.1579,0.0477,1.0,1.0,0.094,1.0011,1.0,0.05
0,0.8432,0.8438,0.7755,0.8421,0.1579,0.0951,1.0,1.0,0.0941,1.0022,2.0,0.05
0,0.8409,0.8415,0.7729,0.8397,0.1603,0.1425,0.9973,0.9977,0.0942,1.0034,3.0,0.05
0,0.8409,0.8415,0.7729,0.8397,0.1603,0.19,0.9973,0.9977,0.0943,1.0045,4.0,0.05
0,0.8409,0.8415,0.7729,0.8397,0.1603,0.2372,0.9973,0.9977,0.0944,1.0056,5.0,0.05
0,0.8402,0.8407,0.7722,0.8388,0.1612,0.2845,0.9964,0.997,0.0945,1.0067,6.0,0.05
0,0.8394,0.84,0.7711,0.8382,0.1618,0.3322,0.9955,0.9962,0.0947,1.0078,7.0,0.05
0,0.8386,0.8393,0.7701,0.8375,0.1625,0.3797,0.9946,0.9955,0.0948,1.0089,8.0,0.05
0,0.8379,0.8385,0.7693,0.8366,0.1634,0.4268,0.9937,0.9947,0.0949,1.01,9.0,0.05
0,0.8379,0.8385,0.7693,0.8366,0.1634,0.4744,0.9937,0.9947,0.095,1.0112,10.0,0.05
0,0.8379,0.8385,0.7693,0.8366,0.1634,0.5215,0.9937,0.9947,0.0951,1.0124,11.0,0.05
0,0.8379,0.8385,0.7693,0.8366,0.1634,0.5691,0.9937,0.9947,0.0952,1.0135,12.0,0.05
0,0.8371,0.8378,0.7683,0.836,0.164,0.6164,0.9928,0.9939,0.0953,1.0147,13.0,0.05
0,0.8371,0.8378,0.7683,0.836,0.164,0.6637,0.9928,0.9939,0.0954,1.0158,14.0,0.05
0,0.8364,0.837,0.7672,0.8354,0.1646,0.7108,0.9919,0.9932,0.0955,1.0169,15.0,0.05
0,0.8364,0.837,0.7672,0.8354,0.1646,0.758,0.9919,0.9932,0.0956,1.0181,16.0,0.05
0,0.8356,0.8363,0.7662,0.8347,0.1653,0.8054,0.991,0.9924,0.0957,1.0192,17.0,0.05
0,0.8348,0.8355,0.7655,0.8338,0.1662,0.8528,0.9901,0.9917,0.0958,1.0204,18.0,0.05
0,0.8348,0.8355,0.7655,0.8338,0.1662,0.9002,0.9901,0.9917,0.0959,1.0215,19.0,0.05
0,0.8348,0.8355,0.7655,0.8338,0.1662,0.9476,0.9901,0.9917,0.096,1.0227,20.0,0.05
0,0.8348,0.8355,0.7655,0.8338,0.1662,0.995,0.9901,0.9917,0.0962,1.0238,21.0,0.05
0,0.8341,0.8347,0.7647,0.833,0.167,1.0423,0.9892,0.9909,0.0963,1.0249,22.0,0.05
0,0.8341,0.8347,0.7647,0.833,0.167,1.0897,0.9892,0.9909,0.0964,1.0261,23.0,0.05
0,0.8333,0.834,0.7637,0.8323,0.1677,1.1372,0.9883,0.9902,0.0965,1.0272,24.0,0.05
0,0.8333,0.834,0.7637,0.8323,0.1677,1.1846,0.9883,0.9902,0.0966,1.0283,25.0,0.05
0,0.8333,0.834,0.7637,0.8323,0.1677,1.2322,0.9883,0.9902,0.0967,1.0295,26.0,0.05
0,0.8326,0.8333,0.7626,0.8317,0.1683,1.2798,0.9874,0.9894,0.0968,1.0306,27.0,0.05
0,0.8311,0.8317,0.7609,0.8302,0.1698,1.3272,0.9856,0.9879,0.0969,1.0319,28.0,0.05
0,0.8303,0.831,0.7601,0.8293,0.1707,1.3746,0.9847,0.9871,0.097,1.033,29.0,0.05
0,0.8303,0.831,0.7601,0.8293,0.1707,1.4222,0.9847,0.9871,0.0971,1.0342,30.0,0.05
0,0.8295,0.8302,0.7594,0.8284,0.1716,1.4695,0.9838,0.9864,0.0972,1.0353,31.0,0.05
0,0.8295,0.8302,0.7594,0.8284,0.1716,1.517,0.9838,0.9864,0.0974,1.0366,32.0,0.05
0,0.8295,0.8302,0.7594,0.8284,0.1716,1.5647,0.9838,0.9864,0.0975,1.0378,33.0,0.05
0,0.8295,0.8302,0.7594,0.8284,0.1716,1.6119,0.9838,0.9864,0.0976,1.0389,34.0,0.05
0,0.8295,0.8302,0.7594,0.8284,0.1716,1.6592,0.9838,0.9864,0.0977,1.0401,35.0,0.05
0,0.828,0.8286,0.7579,0.8266,0.1734,1.7066,0.982,0.9848,0.0978,1.0412,36.0,0.05
0,0.8273,0.8278,0.7571,0.8257,0.1743,1.7537,0.9811,0.9841,0.0979,1.0425,37.0,0.05
0,0.8273,0.8278,0.7571,0.8257,0.1743,1.8012,0.9811,0.9841,0.098,1.0436,38.0,0.05
0,0.8273,0.8278,0.7571,0.8257,0.1743,1.8484,0.9811,0.9841,0.0981,1.0447,39.0,0.05
0,0.8273,0.8278,0.7571,0.8257,0.1743,1.8959,0.9811,0.9841,0.0982,1.0459,40.0,0.05
