,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.7778,0.7778,0.7057,0.7938,0.2062,7.2,0.8235,0.8333,0.1873,1.2128,1.0,0.05
0,0.4222,0.4222,0.4656,0.5094,0.4906,13.2778,0.4471,0.4778,0.2231,1.4448,2.0,0.05
0,0.1111,0.1111,0.4293,0.2,0.8,19.5033,0.1176,0.1667,0.2596,1.6811,3.0,0.05
0,0.0833,0.0833,0.4405,0.1538,0.8462,24.8894,0.0882,0.1389,0.2949,1.9101,4.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,30.2133,0.0471,0.1,0.3293,2.1328,5.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,34.6639,0.0176,0.0722,0.3616,2.342,6.0,0.05
0,0.0,0.0,0.5,0.0,1.0,39.2944,0.0,0.0556,0.392,2.5385,7.0,0.05
0,0.0,0.0,0.5,0.0,1.0,42.9889,0.0,0.0556,0.4199,2.7197,8.0,0.05
0,0.0,0.0,0.5,0.0,1.0,46.3178,0.0,0.0556,0.4416,2.8596,9.0,0.05
0,0.0,0.0,0.5,0.0,1.0,48.8433,0.0,0.0556,0.4595,2.9755,10.0,0.05
0,0.0,0.0,0.5,0.0,1.0,51.1772,0.0,0.0556,0.4735,3.0665,11.0,0.05
0,0.0,0.0,0.5,0.0,1.0,52.7367,0.0,0.0556,0.485,3.1407,12.0,0.05
0,0.0,0.0,0.5,0.0,1.0,54.3194,0.0,0.0556,0.4938,3.1982,13.0,0.05
0,0.0,0.0,0.5,0.0,1.0,55.4839,0.0,0.0556,0.5016,3.2486,14.0,0.05
0,0.0,0.0,0.5,0.0,1.0,56.6439,0.0,0.0556,0.5071,3.2842,15.0,0.05
0,0.0,0.0,0.5,0.0,1.0,57.6578,0.0,0.0556,0.5133,3.3241,16.0,0.05
0,0.0,0.0,0.5,0.0,1.0,58.7055,0.0,0.0556,0.5181,3.3552,17.0,0.05
0,0.0,0.0,0.5,0.0,1.0,59.4594,0.0,0.0556,0.5223,3.3827,18.0,0.05
0,0.0,0.0,0.5,0.0,1.0,60.42,0.0,0.0556,0.5273,3.415,19.0,0.05
0,0.0,0.0,0.5,0.0,1.0,61.1189,0.0,0.0556,0.5309,3.438,20.0,0.05
0,0.0,0.0,0.5,0.0,1.0,61.8589,0.0,0.0556,0.5343,3.4604,21.0,0.05
0,0.0,0.0,0.5,0.0,1.0,62.47,0.0,0.0556,0.5376,3.4813,22.0,0.05
0,0.0,0.0,0.5,0.0,1.0,63.185,0.0,0.0556,0.5409,3.5027,23.0,0.05
0,0.0,0.0,0.5,0.0,1.0,63.75,0.0,0.0556,0.5441,3.5236,24.0,0.05
0,0.0,0.0,0.5,0.0,1.0,64.2944,0.0,0.0556,0.5459,3.5354,25.0,0.05
0,0.0,0.0,0.5,0.0,1.0,64.7494,0.0,0.0556,0.5474,3.5452,26.0,0.05
0,0.0,0.0,0.5,0.0,1.0,65.2617,0.0,0.0556,0.5491,3.5564,27.0,0.05
0,0.0,0.0,0.5,0.0,1.0,65.6289,0.0,0.0556,0.5509,3.5677,28.0,0.05
0,0.0,0.0,0.5,0.0,1.0,66.0755,0.0,0.0556,0.5518,3.5733,29.0,0.05
0,0.0,0.0,0.5,0.0,1.0,66.3728,0.0,0.0556,0.5529,3.5809,30.0,0.05
0,0.0,0.0,0.5,0.0,1.0,66.8144,0.0,0.0556,0.5536,3.5853,31.0,0.05
0,0.0,0.0,0.5,0.0,1.0,67.0789,0.0,0.0556,0.5541,3.5885,32.0,0.05
0,0.0,0.0,0.5,0.0,1.0,67.4528,0.0,0.0556,0.5539,3.587,33.0,0.05
0,0.0,0.0,0.5,0.0,1.0,67.6833,0.0,0.0556,0.5547,3.5925,34.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.0689,0.0,0.0556,0.5551,3.5951,35.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.2611,0.0,0.0556,0.5556,3.5983,36.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.5855,0.0,0.0556,0.5553,3.5965,37.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.6855,0.0,0.0556,0.5554,3.5969,38.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.9855,0.0,0.0556,0.5558,3.5993,39.0,0.05
