,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.95,0.95,0.9168,0.9514,0.0486,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.0331,0.9942,0.9889,0.1549,1.0031,1.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.065,0.9942,0.9889,0.1554,1.0062,2.0,0.05
0,0.9389,0.9389,0.9019,0.9405,0.0595,0.1042,0.9883,0.9889,0.156,1.01,3.0,0.05
0,0.9389,0.9389,0.9019,0.9405,0.0595,0.1375,0.9883,0.9889,0.1564,1.0129,4.0,0.05
0,0.9611,0.9611,0.9363,0.9617,0.0383,0.1711,1.0,0.9889,0.1569,1.0162,5.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.2053,0.9942,0.9889,0.1574,1.0196,6.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.235,0.9942,0.9944,0.1579,1.0223,7.0,0.05
0,0.9444,0.9444,0.9074,0.9462,0.0538,0.2644,0.9942,0.9944,0.1583,1.0253,8.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.2978,0.9942,0.9944,0.1588,1.0284,9.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.3308,0.9942,0.9944,0.1592,1.0312,10.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.3606,0.9942,0.9944,0.1596,1.0338,11.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.395,0.9942,0.9889,0.1601,1.0368,12.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.425,0.9942,0.9944,0.1605,1.0397,13.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.4553,0.9942,0.9944,0.1609,1.0422,14.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.4861,0.9942,0.9944,0.1614,1.0452,15.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.5122,0.9942,0.9944,0.1617,1.0474,16.0,0.05
0,0.9389,0.9389,0.9019,0.9405,0.0595,0.5439,0.9883,0.9889,0.1622,1.0504,17.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.575,0.9942,0.9889,0.1626,1.0531,18.0,0.05
0,0.9389,0.9389,0.9059,0.9399,0.0601,0.6067,0.9883,0.9889,0.1631,1.0562,19.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.6344,0.9942,0.9889,0.1634,1.0584,20.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.6683,0.9942,0.9889,0.1639,1.0614,21.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.6983,0.9883,0.9778,0.1643,1.0642,22.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.73,0.9883,0.9833,0.1647,1.0666,23.0,0.05
0,0.95,0.95,0.921,0.9508,0.0492,0.7617,0.9942,0.9889,0.1651,1.0695,24.0,0.05
0,0.9444,0.9444,0.9113,0.9457,0.0543,0.7883,0.9942,0.9944,0.1656,1.0723,25.0,0.05
