,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,1.0,1.0,1.0,1.0,0.0,7.2,1.0,1.0,0.1959,1.2688,1.0,0.05
0,0.9889,0.9889,0.9889,0.9888,0.0112,14.1783,0.9889,0.9889,0.2469,1.5988,2.0,0.05
0,0.9889,0.9889,0.9889,0.9888,0.0112,21.1456,0.9889,0.9889,0.2986,1.9337,3.0,0.05
0,0.9833,0.9833,0.9779,0.9832,0.0168,27.8917,0.9833,0.9833,0.3502,2.268,4.0,0.05
0,0.9556,0.9556,0.9308,0.956,0.044,34.62,0.9556,0.9556,0.4006,2.5946,5.0,0.05
0,0.8889,0.8889,0.8279,0.8958,0.1042,41.1172,0.8889,0.8889,0.4498,2.9131,6.0,0.05
0,0.8833,0.8833,0.8201,0.8912,0.1088,47.605,0.8833,0.8833,0.4981,3.2259,7.0,0.05
0,0.8611,0.8611,0.7923,0.8718,0.1282,53.8767,0.8611,0.8611,0.5458,3.535,8.0,0.05
0,0.8,0.8,0.731,0.8105,0.1895,60.1389,0.8,0.8,0.5937,3.845,9.0,0.05
0,0.7556,0.7556,0.689,0.7634,0.2366,66.135,0.7556,0.7556,0.6418,4.1564,10.0,0.05
0,0.6944,0.6944,0.6338,0.6995,0.3005,72.1017,0.6944,0.6944,0.6903,4.4704,11.0,0.05
0,0.65,0.65,0.5968,0.6557,0.3443,77.7355,0.65,0.65,0.7378,4.7783,12.0,0.05
0,0.5944,0.5944,0.5555,0.6096,0.3904,83.3144,0.5944,0.5944,0.7863,5.0922,13.0,0.05
0,0.5167,0.5167,0.5086,0.5297,0.4703,88.58,0.5167,0.5167,0.8354,5.4101,14.0,0.05
0,0.4611,0.4611,0.4819,0.4868,0.5132,93.7639,0.4611,0.4611,0.8847,5.7295,15.0,0.05
0,0.4222,0.4222,0.4667,0.4468,0.5532,98.635,0.4222,0.4222,0.9337,6.0467,16.0,0.05
0,0.3778,0.3778,0.4532,0.3913,0.6087,103.4567,0.3778,0.3778,0.9826,6.3638,17.0,0.05
0,0.3167,0.3167,0.4402,0.3351,0.6649,108.0028,0.3167,0.3167,1.0322,6.6851,18.0,0.05
0,0.2944,0.2944,0.4373,0.3135,0.6865,112.4833,0.2944,0.2944,1.0818,7.006,19.0,0.05
0,0.2667,0.2667,0.4344,0.2903,0.7097,116.6772,0.2667,0.2667,1.1313,7.3268,20.0,0.05
0,0.2,0.2,0.4327,0.234,0.766,120.8489,0.2,0.2,1.1819,7.6545,21.0,0.05
0,0.1278,0.1278,0.4304,0.203,0.797,124.7239,0.1278,0.1278,1.2318,7.9777,22.0,0.05
0,0.1056,0.1056,0.4336,0.1827,0.8173,128.5728,0.1056,0.1056,1.2816,8.2998,23.0,0.05
0,0.1,0.1,0.4358,0.1735,0.8265,132.1472,0.1,0.1,1.332,8.6262,24.0,0.05
0,0.0833,0.0833,0.4405,0.1538,0.8462,135.7816,0.0833,0.0833,1.3823,8.9522,25.0,0.05
0,0.0667,0.0667,0.449,0.125,0.875,139.1927,0.0667,0.0667,1.4323,9.2759,26.0,0.05
0,0.0667,0.0667,0.449,0.125,0.875,142.7077,0.0667,0.0667,1.4827,9.602,27.0,0.05
0,0.0556,0.0556,0.4556,0.1053,0.8947,146.02,0.0556,0.0556,1.5323,9.9237,28.0,0.05
0,0.05,0.05,0.4591,0.0952,0.9048,149.495,0.05,0.05,1.5831,10.2528,29.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,152.7694,0.0444,0.0444,1.6337,10.5803,30.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,156.2305,0.0444,0.0444,1.6853,10.9146,31.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,159.5522,0.0278,0.0278,1.7376,11.2534,32.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,163.0699,0.0222,0.0222,1.7901,11.5933,33.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,166.4761,0.0222,0.0222,1.843,11.9359,34.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,170.0311,0.0222,0.0222,1.8957,12.2771,35.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,173.4472,0.0222,0.0222,1.9492,12.6236,36.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,176.9849,0.0222,0.0222,2.0016,12.9628,37.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,180.4155,0.0222,0.0222,2.0548,13.3076,38.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,184.0405,0.0222,0.0222,2.1077,13.6497,39.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,187.4855,0.0222,0.0222,2.1599,13.988,40.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,191.1049,0.0222,0.0222,2.2123,14.3277,41.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,194.6038,0.0222,0.0222,2.2647,14.6671,42.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,198.2505,0.0222,0.0222,2.3178,15.0106,43.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,201.7655,0.0222,0.0222,2.37,15.3488,44.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,205.3699,0.0167,0.0167,2.4215,15.6825,45.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,208.8577,0.0167,0.0167,2.4737,16.0206,46.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,212.4971,0.0167,0.0167,2.5261,16.3598,47.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,216.0127,0.0167,0.0167,2.5785,16.6989,48.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,219.5749,0.0167,0.0167,2.6309,17.0384,49.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,223.0582,0.0111,0.0111,2.6818,17.3679,50.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,226.5993,0.0056,0.0056,2.7335,17.7029,51.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,229.9799,0.0056,0.0056,2.7831,18.0242,52.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,233.4232,0.0056,0.0056,2.8347,18.358,53.0,0.05
0,0.0,0.0,0.5,0.0,1.0,236.7516,0.0,0.0,2.884,18.6778,54.0,0.05
0,0.0,0.0,0.5,0.0,1.0,240.1521,0.0,0.0,2.9344,19.0036,55.0,0.05
0,0.0,0.0,0.5,0.0,1.0,243.4138,0.0,0.0,2.983,19.3185,56.0,0.05
0,0.0,0.0,0.5,0.0,1.0,246.7293,0.0,0.0,3.0328,19.6409,57.0,0.05
0,0.0,0.0,0.5,0.0,1.0,249.9927,0.0,0.0,3.0814,19.9558,58.0,0.05
0,0.0,0.0,0.5,0.0,1.0,253.2704,0.0,0.0,3.1306,20.2743,59.0,0.05
0,0.0,0.0,0.5,0.0,1.0,256.4688,0.0,0.0,3.1786,20.5852,60.0,0.05
0,0.0,0.0,0.5,0.0,1.0,259.6899,0.0,0.0,3.2277,20.9032,61.0,0.05
0,0.0,0.0,0.5,0.0,1.0,262.8449,0.0,0.0,3.2743,21.2052,62.0,0.05
0,0.0,0.0,0.5,0.0,1.0,266.0104,0.0,0.0,3.3229,21.52,63.0,0.05
0,0.0,0.0,0.5,0.0,1.0,269.1321,0.0,0.0,3.3699,21.8246,64.0,0.05
0,0.0,0.0,0.5,0.0,1.0,272.251,0.0,0.0,3.4175,22.1327,65.0,0.05
0,0.0,0.0,0.5,0.0,1.0,275.3116,0.0,0.0,3.4638,22.4327,66.0,0.05
0,0.0,0.0,0.5,0.0,1.0,278.3871,0.0,0.0,3.511,22.738,67.0,0.05
0,0.0,0.0,0.5,0.0,1.0,281.4771,0.0,0.0,3.5573,23.0382,68.0,0.05
0,0.0,0.0,0.5,0.0,1.0,284.4115,0.0,0.0,3.6031,23.3343,69.0,0.05
0,0.0,0.0,0.5,0.0,1.0,287.3582,0.0,0.0,3.6472,23.6202,70.0,0.05
0,0.0,0.0,0.5,0.0,1.0,290.2282,0.0,0.0,3.6924,23.9128,71.0,0.05
0,0.0,0.0,0.5,0.0,1.0,293.1287,0.0,0.0,3.7355,24.1922,72.0,0.05
0,0.0,0.0,0.5,0.0,1.0,295.9398,0.0,0.0,3.7793,24.4755,73.0,0.05
0,0.0,0.0,0.5,0.0,1.0,298.766,0.0,0.0,3.822,24.7525,74.0,0.05
0,0.0,0.0,0.5,0.0,1.0,301.5704,0.0,0.0,3.8661,25.0376,75.0,0.05
0,0.0,0.0,0.5,0.0,1.0,304.3621,0.0,0.0,3.9086,25.3132,76.0,0.05
0,0.0,0.0,0.5,0.0,1.0,307.0465,0.0,0.0,3.9522,25.5957,77.0,0.05
0,0.0,0.0,0.5,0.0,1.0,309.7815,0.0,0.0,3.9935,25.8629,78.0,0.05
0,0.0,0.0,0.5,0.0,1.0,312.4298,0.0,0.0,4.0369,26.1441,79.0,0.05
0,0.0,0.0,0.5,0.0,1.0,315.0954,0.0,0.0,4.0782,26.4117,80.0,0.05
0,0.0,0.0,0.5,0.0,1.0,317.7059,0.0,0.0,4.1208,26.6876,81.0,0.05
0,0.0,0.0,0.5,0.0,1.0,320.3382,0.0,0.0,4.1614,26.9502,82.0,0.05
0,0.0,0.0,0.5,0.0,1.0,322.8715,0.0,0.0,4.2022,27.2146,83.0,0.05
0,0.0,0.0,0.5,0.0,1.0,325.4815,0.0,0.0,4.2436,27.4826,84.0,0.05
0,0.0,0.0,0.5,0.0,1.0,328.0115,0.0,0.0,4.286,27.7573,85.0,0.05
0,0.0,0.0,0.5,0.0,1.0,330.5809,0.0,0.0,4.3265,28.0198,86.0,0.05
0,0.0,0.0,0.5,0.0,1.0,333.1287,0.0,0.0,4.3687,28.2927,87.0,0.05
0,0.0,0.0,0.5,0.0,1.0,335.6932,0.0,0.0,4.4095,28.557,88.0,0.05
0,0.0,0.0,0.5,0.0,1.0,338.1537,0.0,0.0,4.4506,28.8235,89.0,0.05
0,0.0,0.0,0.5,0.0,1.0,340.6143,0.0,0.0,4.4899,29.0779,90.0,0.05
0,0.0,0.0,0.5,0.0,1.0,343.001,0.0,0.0,4.5302,29.3388,91.0,0.05
0,0.0,0.0,0.5,0.0,1.0,345.4176,0.0,0.0,4.5685,29.5866,92.0,0.05
0,0.0,0.0,0.5,0.0,1.0,347.7632,0.0,0.0,4.6088,29.8475,93.0,0.05
0,0.0,0.0,0.5,0.0,1.0,350.1254,0.0,0.0,4.6472,30.0966,94.0,0.05
0,0.0,0.0,0.5,0.0,1.0,352.4143,0.0,0.0,4.6852,30.3424,95.0,0.05
0,0.0,0.0,0.5,0.0,1.0,354.7732,0.0,0.0,4.7222,30.582,96.0,0.05
0,0.0,0.0,0.5,0.0,1.0,357.0471,0.0,0.0,4.7606,30.8305,97.0,0.05
0,0.0,0.0,0.5,0.0,1.0,359.3215,0.0,0.0,4.7968,31.0652,98.0,0.05
0,0.0,0.0,0.5,0.0,1.0,361.5515,0.0,0.0,4.8347,31.3104,99.0,0.05
0,0.0,0.0,0.5,0.0,1.0,363.7582,0.0,0.0,4.8686,31.5303,100.0,0.05
