,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.0497,1.0,1.0,0.1551,1.0044,1.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.0986,1.0,1.0,0.1557,1.0085,2.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.1478,1.0,1.0,0.1564,1.0131,3.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.1975,1.0,1.0,0.1571,1.0174,4.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.2469,1.0,1.0,0.1578,1.0221,5.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.2964,1.0,1.0,0.1585,1.0263,6.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.3458,1.0,1.0,0.1591,1.0306,7.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.3956,1.0,1.0,0.1598,1.035,8.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.4447,1.0,1.0,0.1606,1.0399,9.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.4936,1.0,1.0,0.1613,1.0443,10.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.5431,1.0,1.0,0.1619,1.0484,11.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.5928,1.0,1.0,0.1626,1.053,12.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.6428,1.0,1.0,0.1633,1.0575,13.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.6919,1.0,1.0,0.164,1.0622,14.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.7419,1.0,1.0,0.1646,1.0663,15.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.7914,1.0,1.0,0.1653,1.0702,16.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.8411,1.0,1.0,0.1659,1.0744,17.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.89,1.0,1.0,0.1665,1.0785,18.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.9397,1.0,1.0,0.1672,1.0831,19.0,0.05
0,1.0,1.0,1.0,1.0,0.0,0.9892,1.0,1.0,0.1679,1.0872,20.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.0381,1.0,1.0,0.1685,1.0915,21.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.0881,1.0,1.0,0.1692,1.0957,22.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.1375,1.0,1.0,0.1697,1.0992,23.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.1872,1.0,1.0,0.1704,1.1036,24.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.2372,1.0,1.0,0.171,1.1075,25.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.2872,1.0,1.0,0.1716,1.1115,26.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.3369,1.0,1.0,0.1722,1.1153,27.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.3869,1.0,1.0,0.1727,1.1182,28.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.4367,1.0,1.0,0.1733,1.1225,29.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.4858,1.0,1.0,0.1739,1.1261,30.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.5356,1.0,1.0,0.1745,1.1301,31.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.5847,1.0,1.0,0.1751,1.1343,32.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.6344,1.0,1.0,0.1757,1.1381,33.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.6833,1.0,1.0,0.1763,1.1417,34.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.7325,1.0,1.0,0.1768,1.1452,35.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.7822,1.0,1.0,0.1773,1.1485,36.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.8322,1.0,1.0,0.178,1.1525,37.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.8817,1.0,1.0,0.1785,1.1561,38.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.9311,1.0,1.0,0.1791,1.16,39.0,0.05
0,1.0,1.0,1.0,1.0,0.0,1.9808,1.0,1.0,0.1798,1.1643,40.0,0.05
0,1.0,1.0,1.0,1.0,0.0,2.0308,1.0,1.0,0.1804,1.168,41.0,0.05
0,1.0,1.0,1.0,1.0,0.0,2.08,1.0,1.0,0.181,1.172,42.0,0.05
