,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9,0.9,0.8532,0.9022,0.0978,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.7611,0.7611,0.6925,0.7725,0.2275,7.2,0.8457,0.8611,0.1885,1.2207,1.0,0.05
0,0.5778,0.5778,0.5442,0.6042,0.3958,13.8172,0.642,0.6778,0.2296,1.4871,2.0,0.05
0,0.3889,0.3889,0.4558,0.4149,0.5851,20.3628,0.4321,0.4889,0.2717,1.7597,3.0,0.05
0,0.2556,0.2556,0.4327,0.2872,0.7128,26.2783,0.284,0.3556,0.3122,2.0217,4.0,0.05
0,0.1611,0.1611,0.4371,0.1925,0.8075,32.1733,0.179,0.2611,0.3522,2.2809,5.0,0.05
0,0.0667,0.0667,0.467,0.0769,0.9231,37.4872,0.0741,0.1667,0.3901,2.5261,6.0,0.05
0,0.0444,0.0444,0.4709,0.0652,0.9348,42.9089,0.0494,0.1444,0.4275,2.7684,7.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,47.7872,0.0247,0.1222,0.4633,3.0008,8.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,52.8294,0.0185,0.1167,0.4979,3.2247,9.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,57.3411,0.0062,0.1056,0.5304,3.4353,10.0,0.05
0,0.0,0.0,0.5,0.0,1.0,61.9861,0.0,0.1,0.5626,3.6434,11.0,0.05
0,0.0,0.0,0.5,0.0,1.0,65.9483,0.0,0.1,0.5908,3.826,12.0,0.05
0,0.0,0.0,0.5,0.0,1.0,69.8706,0.0,0.1,0.6183,4.0045,13.0,0.05
0,0.0,0.0,0.5,0.0,1.0,73.3194,0.0,0.1,0.6433,4.1665,14.0,0.05
0,0.0,0.0,0.5,0.0,1.0,76.5489,0.0,0.1,0.6654,4.3091,15.0,0.05
0,0.0,0.0,0.5,0.0,1.0,79.4461,0.0,0.1,0.686,4.4426,16.0,0.05
0,0.0,0.0,0.5,0.0,1.0,82.3028,0.0,0.1,0.7051,4.5667,17.0,0.05
0,0.0,0.0,0.5,0.0,1.0,84.7589,0.0,0.1,0.7223,4.6779,18.0,0.05
0,0.0,0.0,0.5,0.0,1.0,87.1622,0.0,0.1,0.7382,4.7808,19.0,0.05
0,0.0,0.0,0.5,0.0,1.0,89.3478,0.0,0.1,0.7535,4.8801,20.0,0.05
0,0.0,0.0,0.5,0.0,1.0,91.4178,0.0,0.1,0.7672,4.9686,21.0,0.05
0,0.0,0.0,0.5,0.0,1.0,93.2439,0.0,0.1,0.7793,5.0469,22.0,0.05
0,0.0,0.0,0.5,0.0,1.0,95.0394,0.0,0.1,0.7907,5.1207,23.0,0.05
0,0.0,0.0,0.5,0.0,1.0,96.6839,0.0,0.1,0.8013,5.1893,24.0,0.05
0,0.0,0.0,0.5,0.0,1.0,98.2867,0.0,0.1,0.8113,5.2541,25.0,0.05
0,0.0,0.0,0.5,0.0,1.0,99.7133,0.0,0.1,0.8204,5.313,26.0,0.05
0,0.0,0.0,0.5,0.0,1.0,101.25,0.0,0.1,0.829,5.3688,27.0,0.05
0,0.0,0.0,0.5,0.0,1.0,102.6133,0.0,0.1,0.8366,5.4182,28.0,0.05
0,0.0,0.0,0.5,0.0,1.0,104.0694,0.0,0.1,0.8445,5.4692,29.0,0.05
0,0.0,0.0,0.5,0.0,1.0,105.3711,0.0,0.1,0.8513,5.5132,30.0,0.05
0,0.0,0.0,0.5,0.0,1.0,106.7228,0.0,0.1,0.8577,5.5545,31.0,0.05
0,0.0,0.0,0.5,0.0,1.0,107.9928,0.0,0.1,0.8646,5.5992,32.0,0.05
0,0.0,0.0,0.5,0.0,1.0,109.3,0.0,0.1,0.8709,5.6401,33.0,0.05
0,0.0,0.0,0.5,0.0,1.0,110.505,0.0,0.1,0.8767,5.6775,34.0,0.05
0,0.0,0.0,0.5,0.0,1.0,111.7694,0.0,0.1,0.8823,5.7139,35.0,0.05
0,0.0,0.0,0.5,0.0,1.0,112.9333,0.0,0.1,0.888,5.7509,36.0,0.05
0,0.0,0.0,0.5,0.0,1.0,114.1911,0.0,0.1,0.8941,5.7904,37.0,0.05
0,0.0,0.0,0.5,0.0,1.0,115.3466,0.0,0.1,0.899,5.8223,38.0,0.05
0,0.0,0.0,0.5,0.0,1.0,116.5622,0.0,0.1,0.9045,5.858,39.0,0.05
0,0.0,0.0,0.5,0.0,1.0,117.6461,0.0,0.1,0.9094,5.8896,40.0,0.05
0,0.0,0.0,0.5,0.0,1.0,118.795,0.0,0.1,0.9141,5.9202,41.0,0.05
0,0.0,0.0,0.5,0.0,1.0,119.7861,0.0,0.1,0.9192,5.953,42.0,0.05
0,0.0,0.0,0.5,0.0,1.0,120.8977,0.0,0.1,0.9244,5.9867,43.0,0.05
0,0.0,0.0,0.5,0.0,1.0,121.8488,0.0,0.1,0.9294,6.019,44.0,0.05
0,0.0,0.0,0.5,0.0,1.0,122.9233,0.0,0.1,0.9344,6.0517,45.0,0.05
0,0.0,0.0,0.5,0.0,1.0,123.8061,0.0,0.1,0.9393,6.0833,46.0,0.05
0,0.0,0.0,0.5,0.0,1.0,124.8405,0.0,0.1,0.9438,6.1122,47.0,0.05
0,0.0,0.0,0.5,0.0,1.0,125.7011,0.0,0.1,0.9483,6.1415,48.0,0.05
0,0.0,0.0,0.5,0.0,1.0,126.6611,0.0,0.1,0.9527,6.1699,49.0,0.05
0,0.0,0.0,0.5,0.0,1.0,127.4844,0.0,0.1,0.9571,6.1987,50.0,0.05
0,0.0,0.0,0.5,0.0,1.0,128.4344,0.0,0.1,0.9618,6.2285,51.0,0.05
0,0.0,0.0,0.5,0.0,1.0,129.25,0.0,0.1,0.966,6.2558,52.0,0.05
0,0.0,0.0,0.5,0.0,1.0,130.1205,0.0,0.1,0.97,6.282,53.0,0.05
0,0.0,0.0,0.5,0.0,1.0,130.9033,0.0,0.1,0.9734,6.3037,54.0,0.05
0,0.0,0.0,0.5,0.0,1.0,131.7844,0.0,0.1,0.9774,6.3296,55.0,0.05
0,0.0,0.0,0.5,0.0,1.0,132.5377,0.0,0.1,0.9805,6.35,56.0,0.05
0,0.0,0.0,0.5,0.0,1.0,133.3544,0.0,0.1,0.9844,6.3753,57.0,0.05
0,0.0,0.0,0.5,0.0,1.0,134.0477,0.0,0.1,0.9875,6.3954,58.0,0.05
0,0.0,0.0,0.5,0.0,1.0,134.7994,0.0,0.1,0.991,6.4182,59.0,0.05
