,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.7722,0.7722,0.7165,0.763,0.237,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.7722,0.7722,0.7165,0.763,0.237,0.0497,1.0,1.0,0.1552,1.005,1.0,0.05
0,0.7611,0.7611,0.7045,0.7514,0.2486,0.0989,0.9856,0.9889,0.1559,1.0094,2.0,0.05
0,0.7556,0.7556,0.6978,0.7471,0.2529,0.1489,0.9784,0.9833,0.1565,1.0138,3.0,0.05
0,0.7556,0.7556,0.6978,0.7471,0.2529,0.1983,0.9784,0.9833,0.1572,1.0182,4.0,0.05
0,0.75,0.75,0.6912,0.7429,0.2571,0.2472,0.9712,0.9778,0.1579,1.0223,5.0,0.05
0,0.7389,0.7389,0.6813,0.7283,0.2717,0.2967,0.9568,0.9667,0.1586,1.0271,6.0,0.05
0,0.7389,0.7389,0.6813,0.7283,0.2717,0.3464,0.9568,0.9667,0.1593,1.0315,7.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.3956,0.9496,0.9611,0.1599,1.0355,8.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.4456,0.9496,0.9611,0.1606,1.04,9.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.4944,0.9496,0.9611,0.1613,1.0444,10.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.5439,0.9496,0.9611,0.1619,1.0484,11.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.5933,0.9496,0.9611,0.1625,1.0523,12.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.6419,0.9496,0.9611,0.1631,1.0565,13.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.6919,0.9496,0.9611,0.1639,1.0613,14.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.7408,0.9496,0.9611,0.1646,1.0658,15.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.7906,0.9496,0.9611,0.1652,1.07,16.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.8403,0.9496,0.9611,0.1658,1.0735,17.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.89,0.9496,0.9611,0.1663,1.0771,18.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.9397,0.9496,0.9611,0.167,1.0812,19.0,0.05
0,0.7333,0.7333,0.6764,0.7209,0.2791,0.9897,0.9496,0.9611,0.1675,1.085,20.0,0.05
