,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9111,0.9111,0.864,0.914,0.086,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.8778,0.8778,0.82,0.883,0.117,7.2,0.9634,0.9667,0.1544,1.0,1.0,0.05
0,0.8389,0.8389,0.7698,0.8497,0.1503,14.4,0.9207,0.9278,0.1544,1.0,2.0,0.05
0,0.7889,0.7889,0.7196,0.8,0.2,21.6,0.8659,0.8778,0.1544,1.0,3.0,0.05
0,0.7667,0.7667,0.6973,0.7789,0.2211,28.8,0.8415,0.8556,0.1544,1.0,4.0,0.05
0,0.7278,0.7278,0.6601,0.7435,0.2565,36.0,0.7988,0.8167,0.1544,1.0,5.0,0.05
0,0.6944,0.6944,0.6316,0.709,0.291,43.2,0.7622,0.7833,0.1544,1.0,6.0,0.05
0,0.6833,0.6833,0.6216,0.7016,0.2984,50.4,0.75,0.7722,0.1544,1.0,7.0,0.05
0,0.6278,0.6278,0.5797,0.6339,0.3661,57.6,0.689,0.7167,0.1544,1.0,8.0,0.05
0,0.5889,0.5889,0.552,0.5978,0.4022,64.8,0.6463,0.6778,0.1544,1.0,9.0,0.05
0,0.5611,0.5611,0.5342,0.5683,0.4317,72.0,0.6159,0.65,0.1544,1.0,10.0,0.05
0,0.4611,0.4611,0.482,0.4699,0.5301,79.2,0.5061,0.55,0.1544,1.0,11.0,0.05
0,0.3778,0.3778,0.4535,0.3846,0.6154,86.4,0.4146,0.4667,0.1544,1.0,12.0,0.05
0,0.3389,0.3389,0.4451,0.3425,0.6575,93.6,0.372,0.4278,0.1544,1.0,13.0,0.05
0,0.3167,0.3167,0.4416,0.3204,0.6796,100.8,0.3476,0.4056,0.1544,1.0,14.0,0.05
0,0.2944,0.2944,0.44,0.2905,0.7095,108.0,0.3232,0.3833,0.1544,1.0,15.0,0.05
0,0.2444,0.2444,0.4361,0.2527,0.7473,115.2,0.2683,0.3333,0.1544,1.0,16.0,0.05
0,0.2389,0.2389,0.4354,0.2514,0.7486,122.4,0.2622,0.3278,0.1544,1.0,17.0,0.05
0,0.1944,0.1944,0.4321,0.2328,0.7672,129.6,0.2134,0.2833,0.1544,1.0,18.0,0.05
0,0.1333,0.1333,0.4401,0.1702,0.8298,136.8,0.1463,0.2222,0.1544,1.0,19.0,0.05
0,0.1,0.1,0.444,0.1474,0.8526,144.0,0.1098,0.1889,0.1544,1.0,20.0,0.05
0,0.0778,0.0778,0.4526,0.117,0.883,151.2,0.0854,0.1667,0.1544,1.0,21.0,0.05
0,0.0556,0.0556,0.4556,0.1053,0.8947,158.4,0.061,0.1444,0.1544,1.0,22.0,0.05
0,0.0556,0.0556,0.4556,0.1053,0.8947,165.6,0.061,0.1444,0.1544,1.0,23.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,172.7999,0.0488,0.1333,0.1544,1.0,24.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,180.0,0.0488,0.1333,0.1544,1.0,25.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,187.2,0.0488,0.1333,0.1544,1.0,26.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,194.4,0.0305,0.1167,0.1544,1.0,27.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,201.5999,0.0305,0.1167,0.1544,1.0,28.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,208.7999,0.0244,0.1111,0.1544,1.0,29.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,216.0,0.0244,0.1111,0.1544,1.0,30.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,223.1999,0.0183,0.1056,0.1544,1.0,31.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,230.3999,0.0183,0.1056,0.1544,1.0,32.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,237.5999,0.0122,0.1,0.1544,1.0,33.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,244.7999,0.0122,0.1,0.1544,1.0,34.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,251.9999,0.0122,0.1,0.1544,1.0,35.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,259.1999,0.0122,0.1,0.1544,1.0,36.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,266.3999,0.0122,0.1,0.1544,1.0,37.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,273.5999,0.0061,0.0944,0.1544,1.0,38.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,280.7998,0.0061,0.0944,0.1544,1.0,39.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,287.9999,0.0061,0.0944,0.1544,1.0,40.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,295.1999,0.0061,0.0944,0.1544,1.0,41.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,302.3999,0.0061,0.0944,0.1544,1.0,42.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,309.5999,0.0061,0.0944,0.1544,1.0,43.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,316.7998,0.0061,0.0944,0.1544,1.0,44.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,323.9987,0.0061,0.0944,0.1544,1.0002,45.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,331.1965,0.0061,0.0944,0.1544,1.0002,46.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,338.3943,0.0061,0.0944,0.1545,1.0004,47.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,345.5932,0.0061,0.0944,0.1545,1.0005,48.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,352.7909,0.0061,0.0944,0.1545,1.0004,49.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,359.9876,0.0061,0.0944,0.1545,1.0005,50.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,367.1842,0.0061,0.0944,0.1545,1.0005,51.0,0.05
0,0.0,0.0,0.5,0.0,1.0,374.382,0.0,0.0889,0.1545,1.0005,52.0,0.05
0,0.0,0.0,0.5,0.0,1.0,381.5776,0.0,0.0889,0.1545,1.0005,53.0,0.05
0,0.0,0.0,0.5,0.0,1.0,388.7698,0.0,0.0889,0.1545,1.0005,54.0,0.05
0,0.0,0.0,0.5,0.0,1.0,395.9664,0.0,0.0889,0.1545,1.0005,55.0,0.05
0,0.0,0.0,0.5,0.0,1.0,403.1559,0.0,0.0889,0.1545,1.0005,56.0,0.05
0,0.0,0.0,0.5,0.0,1.0,410.3525,0.0,0.0889,0.1545,1.0005,57.0,0.05
0,0.0,0.0,0.5,0.0,1.0,417.5386,0.0,0.0889,0.1545,1.0003,58.0,0.05
0,0.0,0.0,0.5,0.0,1.0,424.7309,0.0,0.0889,0.1545,1.0005,59.0,0.05
0,0.0,0.0,0.5,0.0,1.0,431.917,0.0,0.0889,0.1544,1.0,60.0,0.05
0,0.0,0.0,0.5,0.0,1.0,439.108,0.0,0.0889,0.1544,1.0001,61.0,0.05
0,0.0,0.0,0.5,0.0,1.0,446.2919,0.0,0.0889,0.1544,0.9997,62.0,0.05
0,0.0,0.0,0.5,0.0,1.0,453.4792,0.0,0.0889,0.1544,0.9998,63.0,0.05
0,0.0,0.0,0.5,0.0,1.0,460.6658,0.0,0.0889,0.1543,0.9996,64.0,0.05
0,0.0,0.0,0.5,0.0,1.0,467.8481,0.0,0.0889,0.1544,0.9996,65.0,0.05
0,0.0,0.0,0.5,0.0,1.0,475.0335,0.0,0.0889,0.1543,0.9992,66.0,0.05
0,0.0,0.0,0.5,0.0,1.0,482.2091,0.0,0.0889,0.1543,0.9991,67.0,0.05
0,0.0,0.0,0.5,0.0,1.0,489.3942,0.0,0.0889,0.1542,0.9986,68.0,0.05
0,0.0,0.0,0.5,0.0,1.0,496.5569,0.0,0.0889,0.1541,0.9978,69.0,0.05
0,0.0,0.0,0.5,0.0,1.0,503.7352,0.0,0.0889,0.154,0.997,70.0,0.05
0,0.0,0.0,0.5,0.0,1.0,510.8925,0.0,0.0889,0.1538,0.9962,71.0,0.05
0,0.0,0.0,0.5,0.0,1.0,518.0663,0.0,0.0889,0.1537,0.9953,72.0,0.05
0,0.0,0.0,0.5,0.0,1.0,525.2103,0.0,0.0889,0.1536,0.9945,73.0,0.05
0,0.0,0.0,0.5,0.0,1.0,532.3664,0.0,0.0889,0.1534,0.9933,74.0,0.05
0,0.0,0.0,0.5,0.0,1.0,539.4886,0.0,0.0889,0.1531,0.9917,75.0,0.05
0,0.0,0.0,0.5,0.0,1.0,546.6236,0.0,0.0889,0.1529,0.9904,76.0,0.05
0,0.0,0.0,0.5,0.0,1.0,553.7264,0.0,0.0889,0.1527,0.9887,77.0,0.05
0,0.0,0.0,0.5,0.0,1.0,560.8475,0.0,0.0889,0.1525,0.9875,78.0,0.05
0,0.0,0.0,0.5,0.0,1.0,567.942,0.0,0.0889,0.1523,0.9863,79.0,0.05
0,0.0,0.0,0.5,0.0,1.0,575.0403,0.0,0.0889,0.1521,0.9848,80.0,0.05
0,0.0,0.0,0.5,0.0,1.0,582.108,0.0,0.0889,0.1518,0.9833,81.0,0.05
0,0.0,0.0,0.5,0.0,1.0,589.1797,0.0,0.0889,0.1516,0.9819,82.0,0.05
0,0.0,0.0,0.5,0.0,1.0,596.2358,0.0,0.0889,0.1513,0.9799,83.0,0.05
0,0.0,0.0,0.5,0.0,1.0,603.287,0.0,0.0889,0.1511,0.9787,84.0,0.05
0,0.0,0.0,0.5,0.0,1.0,610.3031,0.0,0.0889,0.1507,0.976,85.0,0.05
0,0.0,0.0,0.5,0.0,1.0,617.3453,0.0,0.0889,0.1502,0.9729,86.0,0.05
