,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9722,0.9722,0.9474,0.973,0.027,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.9278,0.9278,0.8802,0.9312,0.0688,7.16,0.9543,0.9556,0.1854,1.2008,1.0,0.05
0,0.8056,0.8056,0.7246,0.8309,0.1691,14.1822,0.8286,0.8333,0.2251,1.4579,2.0,0.05
0,0.5833,0.5833,0.5462,0.6696,0.3304,21.2128,0.6,0.6111,0.2674,1.7319,3.0,0.05
0,0.4778,0.4778,0.4892,0.5877,0.4123,28.1222,0.4914,0.5056,0.3109,2.0132,4.0,0.05
0,0.2944,0.2944,0.4267,0.4201,0.5799,35.0461,0.3029,0.3222,0.3553,2.3008,5.0,0.05
0,0.1944,0.1944,0.4167,0.3128,0.6872,41.8555,0.2,0.2222,0.4002,2.5918,6.0,0.05
0,0.1389,0.1389,0.4233,0.2365,0.7635,48.725,0.1429,0.1667,0.4463,2.8904,7.0,0.05
0,0.0722,0.0722,0.446,0.1347,0.8653,55.4855,0.0743,0.1,0.4923,3.1881,8.0,0.05
0,0.0556,0.0556,0.4556,0.1053,0.8947,62.2539,0.0571,0.0833,0.5389,3.4899,9.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,68.9572,0.0457,0.0722,0.5856,3.7923,10.0,0.05
0,0.0167,0.0167,0.4844,0.0328,0.9672,75.665,0.0171,0.0444,0.6324,4.0957,11.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,82.2989,0.0114,0.0389,0.6798,4.4022,12.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,88.9494,0.0057,0.0333,0.7272,4.7096,13.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,95.5478,0.0057,0.0333,0.7754,5.0218,14.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,102.1444,0.0057,0.0333,0.824,5.3367,15.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,108.6361,0.0057,0.0333,0.873,5.6539,16.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,114.6483,0.0057,0.0333,0.9186,5.949,17.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,120.3144,0.0057,0.0333,0.963,6.2367,18.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,125.305,0.0057,0.0333,1.0028,6.4947,19.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,129.805,0.0057,0.0333,1.0397,6.7333,20.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,133.6861,0.0057,0.0333,1.0723,6.9446,21.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,137.1583,0.0057,0.0333,1.1024,7.1392,22.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,140.595,0.0057,0.0333,1.1321,7.332,23.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,143.9272,0.0057,0.0333,1.1615,7.522,24.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,147.2088,0.0057,0.0333,1.1904,7.7094,25.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,150.4527,0.0057,0.0333,1.2196,7.8982,26.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,153.6744,0.0057,0.0333,1.2483,8.0846,27.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,156.8566,0.0057,0.0333,1.2774,8.2729,28.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,160.0644,0.0057,0.0333,1.3065,8.4613,29.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,163.2549,0.0057,0.0333,1.3361,8.6526,30.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,166.4594,0.0057,0.0333,1.3656,8.8437,31.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,169.656,0.0057,0.0333,1.395,9.0346,32.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,172.8655,0.0057,0.0333,1.4247,9.2264,33.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,176.0605,0.0057,0.0333,1.454,9.4168,34.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,179.2638,0.0057,0.0333,1.4834,9.6069,35.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,182.4655,0.0057,0.0333,1.5128,9.7973,36.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,185.6494,0.0057,0.0333,1.5421,9.9868,37.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,188.8399,0.0057,0.0333,1.5716,10.178,38.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,192.026,0.0057,0.0333,1.6008,10.3671,39.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,195.2227,0.0057,0.0333,1.6303,10.5585,40.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,198.4049,0.0057,0.0333,1.6599,10.7499,41.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,201.596,0.0057,0.0333,1.6892,10.9396,42.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,204.8121,0.0057,0.0333,1.7189,11.132,43.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,208.006,0.0057,0.0333,1.7484,11.3234,44.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,211.2144,0.0057,0.0333,1.7776,11.5123,45.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,214.4249,0.0057,0.0333,1.8072,11.704,46.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,217.6449,0.0057,0.0333,1.8365,11.8937,47.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,220.8488,0.0057,0.0333,1.8665,12.0878,48.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,224.0588,0.0057,0.0333,1.8959,12.2781,49.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,227.2738,0.0057,0.0333,1.9254,12.4693,50.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,230.4977,0.0057,0.0333,1.9549,12.6605,51.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,233.6999,0.0057,0.0333,1.9845,12.8518,52.0,0.05
