,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9722,0.9722,0.9474,0.973,0.027,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.0472,1.0,1.0,0.1551,1.0043,1.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.0939,1.0,1.0,0.1557,1.0085,2.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.1403,1.0,1.0,0.1564,1.013,3.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.1872,1.0,1.0,0.157,1.0169,4.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.2333,1.0,1.0,0.1576,1.0207,5.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.28,1.0,1.0,0.1582,1.0247,6.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.3264,1.0,1.0,0.1589,1.0291,7.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.3733,1.0,1.0,0.1595,1.0332,8.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.4192,1.0,1.0,0.1602,1.0376,9.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.4656,1.0,1.0,0.1609,1.0419,10.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.5122,1.0,1.0,0.1616,1.0464,11.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.5589,1.0,1.0,0.1622,1.0506,12.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.605,1.0,1.0,0.1629,1.055,13.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.6514,1.0,1.0,0.1635,1.0587,14.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.6983,1.0,1.0,0.1641,1.0628,15.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.7442,1.0,1.0,0.1647,1.0667,16.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.7914,1.0,1.0,0.1653,1.0707,17.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.8381,1.0,1.0,0.1659,1.0744,18.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.8847,1.0,1.0,0.1665,1.0786,19.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.9308,1.0,1.0,0.1671,1.0821,20.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,0.9778,1.0,1.0,0.1677,1.0863,21.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.0242,1.0,1.0,0.1683,1.09,22.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.0708,1.0,1.0,0.1688,1.0933,23.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.1172,1.0,1.0,0.1694,1.0971,24.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.1639,1.0,1.0,0.17,1.1011,25.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.2106,1.0,1.0,0.1706,1.1048,26.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.2567,1.0,1.0,0.1712,1.109,27.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.3028,1.0,1.0,0.1719,1.1131,28.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.3497,1.0,1.0,0.1725,1.1171,29.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.3958,1.0,1.0,0.1731,1.1212,30.0,0.05
0,0.9722,0.9722,0.9474,0.973,0.027,1.4419,1.0,1.0,0.1737,1.1249,31.0,0.05
0,0.9611,0.9611,0.9363,0.9617,0.0383,1.4889,0.9886,0.9889,0.1743,1.1286,32.0,0.05
0,0.9611,0.9611,0.9363,0.9617,0.0383,1.5356,0.9886,0.9889,0.1748,1.1321,33.0,0.05
0,0.9611,0.9611,0.9363,0.9617,0.0383,1.5819,0.9886,0.9889,0.1754,1.1358,34.0,0.05
0,0.9611,0.9611,0.9363,0.9617,0.0383,1.6289,0.9886,0.9889,0.176,1.1395,35.0,0.05
