,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9,0.9,0.8469,0.9043,0.0957,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.6889,0.6889,0.6301,0.6889,0.3111,7.2,0.7654,0.7889,0.2121,1.3735,1.0,0.05
0,0.3111,0.3111,0.4438,0.2874,0.7126,9.465,0.3457,0.4111,0.2523,1.6337,2.0,0.05
0,0.15,0.15,0.4578,0.1156,0.8844,14.0839,0.1667,0.25,0.2928,1.8962,3.0,0.05
0,0.1111,0.1111,0.4757,0.0588,0.9412,16.1406,0.1235,0.2111,0.3307,2.1416,4.0,0.05
0,0.0667,0.0667,0.4798,0.0455,0.9545,19.7994,0.0741,0.1667,0.3667,2.3748,5.0,0.05
0,0.0222,0.0222,0.5,0.0,1.0,21.5589,0.0247,0.1222,0.4001,2.591,6.0,0.05
0,0.0056,0.0056,0.5,0.0,1.0,24.7556,0.0062,0.1056,0.434,2.8109,7.0,0.05
0,0.0,0.0,0.5,0.0,1.0,26.3689,0.0,0.1,0.4676,3.0286,8.0,0.05
0,0.0,0.0,0.5,0.0,1.0,29.3456,0.0,0.1,0.5017,3.2494,9.0,0.05
0,0.0,0.0,0.5,0.0,1.0,30.9722,0.0,0.1,0.5352,3.4662,10.0,0.05
0,0.0,0.0,0.5,0.0,1.0,33.7067,0.0,0.1,0.5688,3.6839,11.0,0.05
0,0.0,0.0,0.5,0.0,1.0,35.4139,0.0,0.1,0.6028,3.9038,12.0,0.05
0,0.0,0.0,0.5,0.0,1.0,37.9661,0.0,0.1,0.6354,4.1149,13.0,0.05
0,0.0,0.0,0.5,0.0,1.0,39.58,0.0,0.1,0.6689,4.3321,14.0,0.05
0,0.0,0.0,0.5,0.0,1.0,42.0906,0.0,0.1,0.7025,4.5496,15.0,0.05
0,0.0,0.0,0.5,0.0,1.0,43.6244,0.0,0.1,0.7327,4.7452,16.0,0.05
0,0.0,0.0,0.5,0.0,1.0,45.9761,0.0,0.1,0.7639,4.9474,17.0,0.05
0,0.0,0.0,0.5,0.0,1.0,47.4717,0.0,0.1,0.7943,5.1441,18.0,0.05
0,0.0,0.0,0.5,0.0,1.0,49.6228,0.0,0.1,0.8223,5.3255,19.0,0.05
0,0.0,0.0,0.5,0.0,1.0,51.0139,0.0,0.1,0.8493,5.5003,20.0,0.05
0,0.0,0.0,0.5,0.0,1.0,52.9933,0.0,0.1,0.8757,5.6715,21.0,0.05
0,0.0,0.0,0.5,0.0,1.0,54.3389,0.0,0.1,0.9019,5.841,22.0,0.05
0,0.0,0.0,0.5,0.0,1.0,56.1339,0.0,0.1,0.9248,5.989,23.0,0.05
0,0.0,0.0,0.5,0.0,1.0,57.3811,0.0,0.1,0.949,6.1461,24.0,0.05
0,0.0,0.0,0.5,0.0,1.0,59.1067,0.0,0.1,0.9714,6.291,25.0,0.05
0,0.0,0.0,0.5,0.0,1.0,60.2855,0.0,0.1,0.9929,6.4304,26.0,0.05
0,0.0,0.0,0.5,0.0,1.0,61.865,0.0,0.1,1.0126,6.558,27.0,0.05
0,0.0,0.0,0.5,0.0,1.0,62.9917,0.0,0.1,1.0331,6.6908,28.0,0.05
0,0.0,0.0,0.5,0.0,1.0,64.555,0.0,0.1,1.0531,6.8203,29.0,0.05
0,0.0,0.0,0.5,0.0,1.0,65.6789,0.0,0.1,1.0714,6.9386,30.0,0.05
0,0.0,0.0,0.5,0.0,1.0,67.1133,0.0,0.1,1.0894,7.0552,31.0,0.05
0,0.0,0.0,0.5,0.0,1.0,68.2472,0.0,0.1,1.1076,7.1731,32.0,0.05
0,0.0,0.0,0.5,0.0,1.0,69.5972,0.0,0.1,1.1249,7.2851,33.0,0.05
0,0.0,0.0,0.5,0.0,1.0,70.6255,0.0,0.1,1.1419,7.3955,34.0,0.05
0,0.0,0.0,0.5,0.0,1.0,71.9439,0.0,0.1,1.1586,7.5033,35.0,0.05
0,0.0,0.0,0.5,0.0,1.0,73.0239,0.0,0.1,1.1763,7.6181,36.0,0.05
0,0.0,0.0,0.5,0.0,1.0,74.3755,0.0,0.1,1.1919,7.7192,37.0,0.05
0,0.0,0.0,0.5,0.0,1.0,75.4411,0.0,0.1,1.2093,7.8315,38.0,0.05
0,0.0,0.0,0.5,0.0,1.0,76.7994,0.0,0.1,1.2266,7.9438,39.0,0.05
0,0.0,0.0,0.5,0.0,1.0,77.8622,0.0,0.1,1.2436,8.0538,40.0,0.05
0,0.0,0.0,0.5,0.0,1.0,79.1544,0.0,0.1,1.2608,8.1651,41.0,0.05
0,0.0,0.0,0.5,0.0,1.0,80.2478,0.0,0.1,1.2778,8.275,42.0,0.05
0,0.0,0.0,0.5,0.0,1.0,81.5733,0.0,0.1,1.2952,8.3881,43.0,0.05
0,0.0,0.0,0.5,0.0,1.0,82.6544,0.0,0.1,1.3115,8.4936,44.0,0.05
0,0.0,0.0,0.5,0.0,1.0,83.9833,0.0,0.1,1.3295,8.6102,45.0,0.05
0,0.0,0.0,0.5,0.0,1.0,85.1005,0.0,0.1,1.3462,8.7184,46.0,0.05
0,0.0,0.0,0.5,0.0,1.0,86.4661,0.0,0.1,1.3638,8.8322,47.0,0.05
0,0.0,0.0,0.5,0.0,1.0,87.5972,0.0,0.1,1.3804,8.9397,48.0,0.05
