,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9,0.9,0.8469,0.9043,0.0957,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.0436,1.0,1.0,0.155,1.0039,1.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.0872,1.0,1.0,0.1556,1.0078,2.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.1289,1.0,1.0,0.1562,1.0113,3.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.1728,1.0,1.0,0.1568,1.0155,4.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.2164,1.0,1.0,0.1574,1.0191,5.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.2581,1.0,1.0,0.1579,1.0228,6.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.3017,1.0,1.0,0.1585,1.0264,7.0,0.05
0,0.9,0.9,0.8469,0.9043,0.0957,0.3458,1.0,1.0,0.1591,1.0304,8.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.3903,0.9938,0.9944,0.1597,1.0345,9.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.4319,0.9938,0.9944,0.1604,1.0386,10.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.4747,0.9938,0.9944,0.161,1.0424,11.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.5158,0.9938,0.9944,0.1615,1.0458,12.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.5567,0.9938,0.9944,0.1621,1.0499,13.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.5989,0.9938,0.9944,0.1626,1.0533,14.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.6411,0.9938,0.9944,0.1631,1.0563,15.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.6822,0.9938,0.9944,0.1636,1.0594,16.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.7225,0.9938,0.9944,0.1641,1.0628,17.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.7644,0.9938,0.9944,0.1645,1.0656,18.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.8061,0.9938,0.9944,0.1651,1.0691,19.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.8475,0.9938,0.9944,0.1656,1.0727,20.0,0.05
0,0.8944,0.8944,0.8416,0.8984,0.1016,0.8886,0.9938,0.9944,0.1662,1.0764,21.0,0.05
0,0.8889,0.8889,0.8362,0.8925,0.1075,0.9297,0.9877,0.9889,0.1667,1.0795,22.0,0.05
0,0.8889,0.8889,0.8362,0.8925,0.1075,0.97,0.9877,0.9889,0.1673,1.0835,23.0,0.05
0,0.8833,0.8833,0.8309,0.8865,0.1135,1.0117,0.9815,0.9833,0.1678,1.0869,24.0,0.05
0,0.8833,0.8833,0.8309,0.8865,0.1135,1.055,0.9815,0.9833,0.1684,1.0906,25.0,0.05
0,0.8778,0.8778,0.8255,0.8804,0.1196,1.0978,0.9753,0.9778,0.1689,1.0939,26.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.1378,0.9691,0.9722,0.1694,1.0968,27.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.1797,0.9691,0.9722,0.1699,1.1001,28.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.2217,0.9691,0.9722,0.1704,1.1035,29.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.2625,0.9691,0.9722,0.1709,1.1067,30.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.3022,0.9691,0.9722,0.1713,1.1096,31.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.3425,0.9691,0.9722,0.1719,1.1133,32.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.3858,0.9691,0.9722,0.1725,1.117,33.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.4247,0.9691,0.9722,0.1729,1.1199,34.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.4653,0.9691,0.9722,0.1734,1.123,35.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.5056,0.9691,0.9722,0.1738,1.1258,36.0,0.05
0,0.8722,0.8722,0.8202,0.8743,0.1257,1.5453,0.9691,0.9722,0.1743,1.1289,37.0,0.05
0,0.8667,0.8667,0.8121,0.8696,0.1304,1.585,0.963,0.9667,0.1748,1.1318,38.0,0.05
0,0.8611,0.8611,0.8041,0.8649,0.1351,1.6275,0.9568,0.9611,0.1752,1.1346,39.0,0.05
0,0.8611,0.8611,0.8041,0.8649,0.1351,1.6697,0.9568,0.9611,0.1757,1.1378,40.0,0.05
0,0.8444,0.8444,0.7883,0.8462,0.1538,1.7092,0.9383,0.9444,0.1762,1.1412,41.0,0.05
0,0.8389,0.8389,0.7806,0.8415,0.1585,1.7453,0.9321,0.9389,0.1766,1.1439,42.0,0.05
0,0.8389,0.8389,0.7806,0.8415,0.1585,1.7847,0.9321,0.9389,0.1771,1.1469,43.0,0.05
0,0.8278,0.8278,0.7657,0.8324,0.1676,1.8253,0.9198,0.9278,0.1776,1.1502,44.0,0.05
0,0.8278,0.8278,0.7657,0.8324,0.1676,1.8672,0.9198,0.9278,0.178,1.153,45.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,1.9067,0.9136,0.9222,0.1785,1.156,46.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,1.9483,0.9136,0.9222,0.179,1.1595,47.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,1.9878,0.9136,0.9222,0.1795,1.1625,48.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.0261,0.9136,0.9222,0.1799,1.1649,49.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.0672,0.9136,0.9222,0.1804,1.1683,50.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.1042,0.9136,0.9222,0.1808,1.171,51.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.145,0.9136,0.9222,0.1814,1.1749,52.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.1872,0.9136,0.9222,0.1819,1.1781,53.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.2253,0.9136,0.9222,0.1823,1.1805,54.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.2664,0.9136,0.9222,0.1827,1.1832,55.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.3031,0.9136,0.9222,0.1831,1.1858,56.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.3419,0.9136,0.9222,0.1835,1.1885,57.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.3822,0.9136,0.9222,0.1839,1.1911,58.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.4206,0.9136,0.9222,0.1843,1.1938,59.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.4575,0.9136,0.9222,0.1847,1.1965,60.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.4964,0.9136,0.9222,0.1851,1.1986,61.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.5356,0.9136,0.9222,0.1855,1.2012,62.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.5733,0.9136,0.9222,0.186,1.2046,63.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.6108,0.9136,0.9222,0.1864,1.2073,64.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.6497,0.9136,0.9222,0.1868,1.21,65.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.6847,0.9136,0.9222,0.1873,1.2131,66.0,0.05
0,0.8222,0.8222,0.7584,0.828,0.172,2.7239,0.9136,0.9222,0.1877,1.2158,67.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.7647,0.9074,0.9167,0.1882,1.219,68.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.8019,0.9074,0.9167,0.1886,1.2216,69.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.8383,0.9074,0.9167,0.1889,1.2236,70.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.8792,0.9074,0.9167,0.1894,1.2265,71.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.9183,0.9074,0.9167,0.1897,1.2288,72.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.9533,0.9074,0.9167,0.1902,1.2315,73.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,2.9928,0.9074,0.9167,0.1905,1.2339,74.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,3.0278,0.9074,0.9167,0.1909,1.2361,75.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,3.0653,0.9074,0.9167,0.1912,1.2386,76.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,3.1036,0.9074,0.9167,0.1917,1.2415,77.0,0.05
