,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9944,0.9944,0.989,0.9945,0.0055,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,7.2,1.0,1.0,0.1757,1.1381,1.0,0.05
0,0.9667,0.9667,0.9464,0.967,0.033,14.1872,0.9721,0.9722,0.2021,1.3089,2.0,0.05
0,0.9556,0.9556,0.9308,0.956,0.044,21.1911,0.9609,0.9611,0.2297,1.4879,3.0,0.05
0,0.9222,0.9222,0.8782,0.9247,0.0753,28.0211,0.9274,0.9278,0.258,1.671,4.0,0.05
0,0.8556,0.8556,0.7939,0.8617,0.1383,34.8172,0.8603,0.8611,0.2869,1.8582,5.0,0.05
0,0.8167,0.8167,0.7514,0.8235,0.1765,41.4217,0.8212,0.8222,0.3157,2.0448,6.0,0.05
0,0.7389,0.7389,0.6724,0.7487,0.2513,48.0167,0.743,0.7444,0.345,2.2346,7.0,0.05
0,0.6944,0.6944,0.6323,0.7059,0.2941,54.3883,0.6983,0.7,0.3743,2.4239,8.0,0.05
0,0.6167,0.6167,0.5715,0.623,0.377,60.7833,0.6201,0.6222,0.4042,2.6178,9.0,0.05
0,0.5611,0.5611,0.5341,0.573,0.427,67.0122,0.5642,0.5667,0.4341,2.8117,10.0,0.05
0,0.4833,0.4833,0.492,0.4746,0.5254,73.1833,0.486,0.4889,0.4638,3.0037,11.0,0.05
0,0.3944,0.3944,0.459,0.3771,0.6229,79.1539,0.3966,0.4,0.4933,3.1946,12.0,0.05
0,0.3167,0.3167,0.4423,0.3128,0.6872,85.1378,0.3184,0.3222,0.5231,3.3876,13.0,0.05
0,0.2611,0.2611,0.4383,0.257,0.743,90.89,0.2626,0.2667,0.5527,3.5793,14.0,0.05
0,0.2278,0.2278,0.4341,0.2486,0.7514,96.6016,0.2291,0.2333,0.5833,3.7777,15.0,0.05
0,0.1778,0.1778,0.4362,0.2043,0.7957,102.15,0.1788,0.1833,0.6136,3.9738,16.0,0.05
0,0.1278,0.1278,0.4326,0.1949,0.8051,107.6061,0.1285,0.1333,0.6436,4.1683,17.0,0.05
0,0.0778,0.0778,0.4462,0.1354,0.8646,112.8467,0.0782,0.0833,0.673,4.3582,18.0,0.05
0,0.0667,0.0667,0.449,0.125,0.875,118.0067,0.067,0.0722,0.7008,4.5383,19.0,0.05
0,0.0611,0.0611,0.4522,0.1152,0.8848,122.9889,0.0615,0.0667,0.7291,4.7216,20.0,0.05
0,0.0611,0.0611,0.4522,0.1152,0.8848,127.8905,0.0615,0.0667,0.7562,4.8971,21.0,0.05
0,0.0556,0.0556,0.4556,0.1053,0.8947,132.5561,0.0559,0.0611,0.7829,5.0705,22.0,0.05
0,0.0444,0.0444,0.4628,0.0851,0.9149,137.1966,0.0447,0.05,0.8092,5.2405,23.0,0.05
0,0.0333,0.0333,0.4708,0.0645,0.9355,141.5989,0.0335,0.0389,0.8356,5.4113,24.0,0.05
0,0.0333,0.0333,0.4708,0.0645,0.9355,145.9461,0.0335,0.0389,0.8624,5.585,25.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,150.0589,0.0279,0.0333,0.8879,5.7504,26.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,154.1961,0.0279,0.0333,0.9135,5.9161,27.0,0.05
0,0.0278,0.0278,0.4751,0.0541,0.9459,158.1372,0.0279,0.0333,0.9379,6.0738,28.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,162.1333,0.0223,0.0278,0.9617,6.2284,29.0,0.05
0,0.0222,0.0222,0.4797,0.0435,0.9565,165.9494,0.0223,0.0278,0.9847,6.3774,30.0,0.05
0,0.0111,0.0111,0.4894,0.022,0.978,169.8505,0.0112,0.0167,1.0058,6.5141,31.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,173.5811,0.0056,0.0111,1.0271,6.6515,32.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,177.3649,0.0056,0.0111,1.0461,6.7748,33.0,0.05
0,0.0056,0.0056,0.4946,0.011,0.989,180.9894,0.0056,0.0111,1.0646,6.8948,34.0,0.05
0,0.0,0.0,0.5,0.0,1.0,184.6988,0.0,0.0056,1.0818,7.0063,35.0,0.05
0,0.0,0.0,0.5,0.0,1.0,188.2444,0.0,0.0056,1.0985,7.1139,36.0,0.05
0,0.0,0.0,0.5,0.0,1.0,191.8755,0.0,0.0056,1.1141,7.2151,37.0,0.05
0,0.0,0.0,0.5,0.0,1.0,195.3166,0.0,0.0056,1.1278,7.3042,38.0,0.05
0,0.0,0.0,0.5,0.0,1.0,198.8455,0.0,0.0056,1.1416,7.3932,39.0,0.05
