,ACC,ROC,PR,F1,EFF,L1,ACC_CORRECT,ACC_ORIG_ADV,ROUGHNESS,ROUGHNESS_NORM,step_id,eps
0,0.9944,0.9944,0.989,0.9945,0.0055,0.0,1.0,1.0,0.1544,1.0,0.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.0472,1.0,1.0,0.1551,1.0042,1.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.0936,1.0,1.0,0.1557,1.0083,2.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.1403,1.0,1.0,0.1563,1.0124,3.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.1872,1.0,1.0,0.1571,1.0171,4.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.2342,1.0,1.0,0.1577,1.0214,5.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.2808,1.0,1.0,0.1583,1.0252,6.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.3272,1.0,1.0,0.1589,1.0293,7.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.3742,1.0,1.0,0.1596,1.0333,8.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.4211,1.0,1.0,0.1603,1.0381,9.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.4681,1.0,1.0,0.1609,1.0421,10.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.5147,1.0,1.0,0.1616,1.0464,11.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.5608,1.0,1.0,0.1622,1.0505,12.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.6081,1.0,1.0,0.1627,1.0538,13.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.655,1.0,1.0,0.1633,1.0575,14.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.7019,1.0,1.0,0.1639,1.0614,15.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.7475,1.0,1.0,0.1644,1.0646,16.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.7942,1.0,1.0,0.165,1.0687,17.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.8406,1.0,1.0,0.1656,1.0725,18.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.8869,1.0,1.0,0.1662,1.076,19.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.9333,1.0,1.0,0.1667,1.0796,20.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,0.98,1.0,1.0,0.1673,1.0832,21.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.0269,1.0,1.0,0.1678,1.0866,22.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.0736,1.0,1.0,0.1684,1.0908,23.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.1203,1.0,1.0,0.169,1.0942,24.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.1664,1.0,1.0,0.1695,1.0974,25.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.2133,1.0,1.0,0.17,1.1009,26.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.26,1.0,1.0,0.1706,1.1046,27.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.3067,1.0,1.0,0.171,1.1076,28.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.3525,1.0,1.0,0.1715,1.1109,29.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.3986,1.0,1.0,0.1721,1.1148,30.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.4447,1.0,1.0,0.1727,1.1184,31.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.4906,1.0,1.0,0.1733,1.122,32.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.5375,1.0,1.0,0.1738,1.1255,33.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.5839,1.0,1.0,0.1743,1.1289,34.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.6303,1.0,1.0,0.1748,1.1322,35.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.6772,1.0,1.0,0.1753,1.1353,36.0,0.05
0,0.9944,0.9944,0.989,0.9945,0.0055,1.7239,1.0,1.0,0.1759,1.1389,37.0,0.05
